code,kind,super_class,preferred,preferred_中文,shortTitle,shortTitle_中文,inclusion,inclusion_中文,exclusion,exclusion_中文,criteria,criteria_中文,consider,consider_中文,note,note_中文,icd10
L91,otherDiagnosis,L.7,Osteoarthrosis other,其他骨关节病,Osteoarthrosis other,其他骨关节病,arthritis NOS; osteoarthritis; traumatic arthropathy,关节炎NOS；骨关节炎；创伤性关节病,osteoarthrosis of neck ,颈椎骨关节病,"either characteristic imaging appearance; or joint disorder of at least 3 months' duration, with no constitutional symptoms such as fever, malaise, etc. and three or more of the following: intermittent swelling; crepitation; stiffness/limitation of movement; normal ESR, rheumatoid tests, and uric acid; over 40 years of age",具有特征性影像表现；或至少3个月病程的关节病变，无发热、乏力等全身症状，并伴有以下三项或以上情况：间歇性肿胀；弹响声；活动受限/僵硬；正常ESR、类风湿检查结果和尿酸水平；年龄超过40岁,joint symptom ,关节症状,,,M13.0; M13.1; M13.8; M13.9; M15.0; M15.1; M15.2; M15.3; M15.4; M15.8; M15.9; M18.0; M18.1; M18.2; M18.3; M18.4; M18.5; M18.9; M19.0; M19.1; M19.2; M19.8; M19.9
L92,otherDiagnosis,L.7,Shoulder syndrome,肩部综合征,Shoulder syndrome,肩部综合征,bursitis of shoulder; frozen shoulder; osteoarthrosis/synovitis of shoulder; rotator cuff syndrome; tendinitis around shoulder,肩部滑囊炎；冻结肩；肩关节骨关节病/滑膜炎；肩袖综合症；肩周围肌腱炎,,,shoulder pain with limitation of movement/local tenderness/crepitus; or periarticular calcification on imaging,肩痛伴活动受限/局部压痛/弹响；或影像学显示关节周围钙化,,,,,M19.0; M19.1; M19.2; M19.8; M19.9; M75.0; M75.1; M75.2; M75.3; M75.4; M75.5; M75.8; M75.9
L93,otherDiagnosis,L.7,Tennis elbow,网球肘,Tennis elbow,网球肘,lateral epicondylitis,外上髁炎,other tendinitis ,其他肌腱炎,,,,,,,M77.1
L94,otherDiagnosis,L.7,Osteochondrosis,骨软骨病,Osteochondrosis,骨软骨病,Legg-Calvé-Perthes disease; Osgood-Schlatter disease; osteochondritis dissecans; Scheuermann's disease; slipped femoral epiphysis,勒-卡维尔-佩特斯病；奥斯古德-施劳斯病；骨软骨炎；席埃曼病；股骨头滑脱症,,,,,,,,,M42.0; M42.1; M42.9; M91.0; M91.1; M91.2; M91.3; M91.8; M91.9; M92.0; M92.1; M92.2; M92.3; M92.4; M92.5; M92.6; M92.7; M92.8; M92.9; M93.0; M93.1; M93.2; M93.8; M93.9
L95,otherDiagnosis,L.7,Osteoporosis,骨质疏松症,Osteoporosis,骨质疏松症,pathological fracture due to osteoporosis,骨质疏松所致病理性骨折,,,characteristic imaging appearance,特征性影像表现,,,,,M80.0; M80.1; M80.2; M80.3; M80.4; M80.5; M80.8; M80.9; M81.0; M81.1; M81.2; M81.3; M81.4; M81.5; M81.6; M81.8; M81.9; M82.0; M82.1; M82.8
L96,injury,L.7,Acute internal damage knee,急性膝关节内损伤,Acute internal damage knee,急性膝关节内损伤,acute damage to meniscus/cruciate ligaments,急性半月板/十字韧带损伤,acute damage to collateral ligaments ,急性副韧带损伤,"an initial injury which occurred no longer than one month previously and demonstration of ligament/meniscus tear by surgery/arthroscopy/imaging, or by locking/giving way, pain, and swelling of knee",一个月以内初次受伤，并通过手术、关节镜或影像学检查证实了韧带/半月板撕裂，或者表现为膝关节卡住、无力、疼痛和肿胀的现象,knee symptom ,膝关节症状,,,S83.2; S83.3; S83.5; S83.7
L97,neoplasm,L.7,Neoplasm musculoskeletal benign/unspecified,良性/未特指的肌肉骨骼肿瘤,Neoplasm musculoskel benign/unspec,良性/未特指的肌肉骨骼肿瘤,benign musculoskeletal neoplasm; musculoskeletal neoplasm not specified as benign or malignant/when histology is not available,良性肌肉骨骼肿瘤；未指明为良性的或恶性的肌肉骨骼肿瘤/当组织学资料不可用时,malignant musculoskeletal neoplasm ,恶性骨肿瘤,,,,,,,D16.0; D16.1; D16.2; D16.3; D16.4; D16.5; D16.6; D16.7; D16.8; D16.9; D21.0; D21.1; D21.2; D21.3; D21.4; D21.5; D21.6; D21.9; D48.0; D48.1; K10.1
L98,otherDiagnosis,L.7,Acquired deformity of limb,获得性肢体畸形,Acquired deformity of limb,获得性肢体畸形,bunion; genu valgum-varum; hallux valgus/varus; mallet finger; pes planus (flatfoot),鸡眼；膝内翻-外翻；拇外翻-拇内翻；锤状指；扁平足（平脚）,general congenital deformity/anomaly ,先天性畸形/异常,,,,,,,M20.0; M20.1; M20.2; M20.3; M20.4; M20.5; M20.6; M21.0; M21.1; M21.2; M21.3; M21.4; M21.5; M21.6; M21.7; M21.8; M21.9
L99,otherDiagnosis,L.7,Musculoskeletal disease other,其他肌肉骨骼疾病,Musculoskeletal disease other,其他肌肉骨骼疾病,arthrodesis; chronic internal derangement of knee; contractures; costochondritis; dermatomyositis; disorder of patella; malunion/ non-union of fracture; myositis; Paget's disease of bone; pathological fracture N0S; polymyalgia rheumatica; psoriatic arthritis (code also ,关节融合术；膝关节慢性内部紊乱；挛缩；胸肋软骨炎；皮肌炎；髌骨疾病；骨折愈合不良/不愈合；肌炎；骨巨细胞瘤；病理性骨折 NOS；风湿性多肌痛；银屑病关节炎（也包括代码）,pathological fracture due to osteoporosis ,骨质疏松所致病理性骨折,,,,,,,K09.2; K10.9; M02.0; M02.1; M02.2; M02.3; M02.8; M02.9; M03.0; M03.1; M03.2; M03.6; M07.0; M07.1; M07.2; M07.3; M07.4; M07.5; M07.6; M09.0; M09.1; M09.2; M09.8; M12.0; M12.1; M12.2; M12.3; M12.4; M12.5; M12.8; M14.0; M14.1; M14.2; M14.3; M14.4; M14.5; M14.6; M14.8; M22.2; M22.3; M22.4; M22.8; M22.9; M23.0; M23.1; M23.2; M23.3; M23.4; M23.5; M23.6; M23.8; M23.9; M24.0; M24.1; M24.2; M24.3; M24.4; M24.5; M24.6; M24.7; M24.8; M24.9; M25.0; M25.1; M25.2; M25.3; M25.7; M25.8; M25.9; M32.0; M32.1; M32.8; M32.9; M33.0; M33.1; M33.2; M33.9; M34.0; M34.1; M34.2; M34.8; M34.9; M35.0; M35.1; M35.2; M35.3; M35.4; M35.5; M35.6; M35.7; M35.8; M35.9; M36.0; M36.1; M36.2; M36.3; M36.4; M36.8; M43.2; M49.0; M49.1; M49.2; M49.3; M49.4; M49.5; M49.8; M54.1; M61.0; M61.1; M61.2; M61.3; M61.4; M61.5; M61.9; M62.0; M62.1; M62.2; M62.3; M62.4; M62.8; M62.9; M63.0; M63.1; M63.2; M63.3; M63.8; M66.0; M66.1; M66.2; M66.3; M66.4; M66.5; M67.0; M67.1; M67.2; M67.8; M67.9; M68.0; M68.8; M73.0; M73.1; M73.8; M79.4; M79.8; M84.0; M84.1; M84.2; M84.3; M84.4; M84.8; M84.9; M85.0; M85.1; M85.2; M85.3; M85.4; M85.5; M85.6; M85.8; M85.9; M87.0; M87.1; M87.2; M87.3; M87.8; M87.9; M88.0; M88.8; M88.9; M89.0; M89.1; M89.2; M89.3; M89.4; M89.5; M89.6; M89.8; M89.9; M90.0; M90.1; M90.2; M90.3; M90.4; M90.5; M90.6; M90.7; M90.8; M94.0; M94.1; M94.2; M94.3; M94.8; M94.9; M95.0; M95.1; M95.2; M95.3; M95.4; M95.5; M95.8; M95.9; M99.0; M99.1; M99.2; M99.3; M99.4; M99.5; M99.6; M99.7; M99.8; M99.9; T79.6; Z89.0; Z89.1; Z89.2; Z89.3; Z89.4; Z89.5; Z89.6; Z89.7; Z89.8; Z89.9; Z98.1
N01,symptom,N.1,Headache,头痛,Headache,头痛,post-traumatic headache,创伤后头痛,cervicogenic headache ,颈椎源性头痛,,,,,,,G44.3; G44.8; R51
N03,symptom,N.1,Pain face,疼痛面容,Pain face,疼痛面容,,,toothache ,牙痛,,,,,,,G50.1; R51
N04,symptom,N.1,Restless legs,不宁腿综合征,Restless legs,不宁腿综合征,,,intermittent claudication ,间歇性跛行,,,,,,,G25.8
N05,symptom,N.1,Tingling fingers/feet/toes,手指/脚趾麻木感,Tingling fingers/feet/toes,手指/脚趾麻木感,burning sensation; paraesthesia; prickly feeling fingers/feet/toes,灼烧感；感觉异常；针刺感（手指/脚趾/足趾）,pain/tenderness of skin ,皮肤疼痛/压痛,,,,,,,R20.2
N06,symptom,N.1,Sensation disturbance other,感觉障碍其他未特指,Sensation disturbance other,感觉障碍其他未特指,anaesthesia; numbness,麻醉；麻木,tingling fingers/feet/toes ,手指/足部/脚趾刺痛感,,,,,,,R20.0; R20.1; R20.3; R20.8
N07,symptom,N.1,Convulsion/seizure,抽搐/癫痫发作,Convulsion/seizure,抽搐/癫痫发作,febrile convulsion; fit,热性惊厥；发作,fainting ,晕厥,,,,,,,R56.0; R56.8
N08,symptom,N.1,Abnormal involuntary movements,不正常的自主运动,Abnormal involuntary movements,不正常的自主运动,dystonic movements; jerking; myoclonus; shaking; tetany; tremor; twitching,dystonic运动；阵挛；肌阵挛；震颤；强直；震颤；抽动,chorea ,舞蹈症,,,,,,,G25.0; G25.1; G25.2; G25.3; G25.4; G25.5; G25.6; G25.8; G25.9; R25.0; R25.1; R25.3; R25.8; R29.0
N16,symptom,N.1,Disturbance of smell/taste,嗅觉/味觉障碍,Disturbance of smell/taste,嗅觉/味觉障碍,anosmia,嗅觉丧失,halitosis ,口臭,,,,,,,R43.0; R43.1; R43.2; R43.8
N17,symptom,N.1,Vertigo/dizziness,眩晕/头晕,Vertigo/dizziness,眩晕/头晕,feeling faint/lightheaded; giddiness; loss of balance; woozy,头晕；眩晕；失去平衡；恍惚,syncope/blackout ,晕厥/失神,,,,,,,R42
N18,symptom,N.1,Paralysis/weakness,瘫痪/无力,Paralysis/weakness,瘫痪/无力,paraplegia; paresis; tetraplegia,截瘫；麻痹；四肢瘫痪,general weakness ,乏力,,,,,,,G81.0; G81.1; G81.9; G82.0; G82.1; G82.2; G82.3; G82.4; G82.5; G83.0; G83.1; G83.2; G83.3; G83.4; G83.8; G83.9; G98
N19,symptom,N.1,Speech disorder,言语障碍,Speech disorder,言语障碍,aphasia; dysarthria; dysphasia; slurred speech,失语症；构音障碍；吞咽困难；言语不清,stammering/stuttering ,口吃,,,,,,,G83.5; R47.0; R47.1; R47.8
N26,symptom,N.1,Fear of cancer of neurological system,神经系统肿瘤恐惧症,Fear cancer neurological system,恐癌神经系统,,,"if the patient has the disease, code the disease",如果患者患有该疾病，编码该疾病,concern about/fear of neurological cancer in a patient without the disease/until the diagnosis is proven,疑虑/恐惧神经系统肿瘤（于未患病患者/直至诊断证实前）,,,,,Z71.1
N27,symptom,N.1,Fear of neurological disease other,其他神经性疾病恐惧症,Fear of neurological disease other,其他神经性疾病恐惧症,,,fear of neurological cancer ,神经系统肿瘤恐惧症,concern about/fear of other neurological disease in a patient without the disease/until the diagnosis is proven,疑有/惧怕其他神经系统疾病（患者无该病诊断/直至诊断明确）,,,,,Z71.1
N28,symptom,N.1,Limited function/disability (N),有限的功能/残疾 (N),Limited function/disability (N),有限的功能/残疾 (N),,,,,limitation of function/disability due to a neurological problem,神经性疾病所致的功能限制/残疾,,,The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).,COOP/WONCA图表适合记录患者的功能状态（见第八章）。,Z73.6
N29,symptom,N.1,Neurological symptom/complaint other,神经系统症状/主诉其他,Neurological sympt/complt other,其他神经系统症状和体征,ataxia; gait abnormality; limping; meningism,小脑功能不全；步态异常；跛行；脑膜刺激征,,,,,,,,,M79.2; R26.0; R26.1; R26.8; R27.0; R27.8; R29.0; R29.1; R29.2; R29.8
N70,infection,N.7,Poliomyelitis,脊髓灰质炎,Poliomyelitis,脊髓灰质炎,late effect of poliomyelitis; other neurological enterovirus infection; post-polio syndrome,脊髓灰质炎晚期效应；其他神经系统的肠道病毒感染；脊髓灰质炎后综合征,,,,,,,,,A80.0; A80.1; A80.2; A80.3; A80.4; A80.9; A85.0; B91; G14
N71,infection,N.7,Meningitis/encephalitis,脑膜炎/脑炎,Meningitis/encephalitis,脑膜炎/脑炎,,,,,an acute febrile illness with abnormal findings in the cerebro-spinal fluid.,急性发热性疾病，伴有脑脊液异常发现。,fever ,发热,,,A32.1; A39.0; A83.0; A83.1; A83.2; A83.3; A83.4; A83.5; A83.6; A83.8; A83.9; A84.0; A84.1; A84.8; A84.9; A85.1; A85.2; A85.8; A86; A87.0; A87.1; A87.2; A87.8; A87.9; B00.3; B00.4; B37.5; B58.2; B94.1; G00.0; G00.1; G00.2; G00.3; G00.8; G00.9; G01; G02.0; G02.1; G02.8; G03.0; G03.1; G03.2; G03.8; G03.9; G04.0; G04.1; G04.2; G04.8; G04.9; G05.0; G05.1; G05.2; G05.8
N72,infection,N.7,Tetanus,破伤风,Tetanus,破伤风,,,tetany ,手足搐搦症,"rigidity, hypertonic contractions or tetanic spasticity and a history of preceding injury",肌张力增高、强直性收缩或阵挛性痉挛及既往损伤史,,,,,A33; A34; A35
N73,infection,N.7,Neurological infection other,其他神经系统感染,Neurological infection other,其他神经系统感染,cerebral abscess; slow virus infection,脑脓肿；慢病毒感染,poliomyelitis ,脊髓灰质炎,,,,,,,A81.0; A81.1; A81.2; A81.8; A81.9; A88.8; A89; G06.0; G06.1; G06.2; G07; G08; G09
N74,neoplasm,N.7,Malignant neoplasm nervous system,恶性神经系统肿瘤,Malignant neoplasm nervous system,恶性神经系统肿瘤,,,,,characteristic histological appearance,特征性组织学表现,unspecified neoplasm nervous system ,未特指的神经系统肿瘤,,,C47.0; C47.1; C47.2; C47.3; C47.4; C47.5; C47.6; C47.8; C47.9; C70.0; C70.1; C70.9; C71.0; C71.1; C71.2; C71.3; C71.4; C71.5; C71.6; C71.7; C71.8; C71.9; C72.0; C72.1; C72.2; C72.3; C72.4; C72.5; C72.8; C72.9
N75,neoplasm,N.7,Benign neoplasm nervous system,良性神经系统肿瘤,Benign neoplasm nervous system,良性神经系统肿瘤,acoustic neuroma; meningioma,听神经瘤; 脑膜瘤,,,,,,,,,D32.0; D32.1; D32.9; D33.0; D33.1; D33.2; D33.3; D33.4; D33.7; D33.9; D36.1
N76,neoplasm,N.7,Neoplasm nervous system unspecified,神经系统肿瘤未特指,Neoplasm nervous system unspecified,神经系统肿瘤未特指,neoplasm nervous system not specified as benign or malignant/when histology is not available,神经系统肿瘤未特指为良性或恶性/当组织学资料不可用时,neurofibromatosis ,神经纤维瘤病,,,,,,,D42.0; D42.1; D42.9; D43.0; D43.1; D43.2; D43.3; D43.4; D43.7; D43.9; D48.2
N79,injury,N.7,Concussion,脑震荡,Concussion,脑震荡,late effect of concussion,脑震荡后遗症,,,trauma to the head with a temporary loss of consciousness and/or neurological sequela,头部创伤伴短暂意识丧失和/或神经后遗症,other head injury ,其他头部损伤,,,S06.0
N80,injury,N.7,Head injury other,头部损伤其他,Head injury other,头部损伤其他,cerebral contusion; cerebral injury with/without skull fracture; extradural haematoma; subdural haematoma; traumatic intracranial haemorrhage,脑挫伤；伴有或不伴颅骨骨折的脑损伤；硬膜外血肿；硬膜下血肿；创伤性颅内出血,concussion ,脑震荡,"trauma to the head, complicated by cerebral damage",头部创伤，伴发脑损伤,,,,,S02.0; S02.1; S02.8; S02.9; S06.1; S06.2; S06.3; S06.4; S06.5; S06.6; S06.7; S06.8; S06.9; S07.0; S07.1; S07.8; S07.9; S08.0; S08.8; S08.9; S09.0; S09.7; S09.8; S09.9
N81,injury,N.7,Injury nervous system other,其他神经系统损伤,Injury nervous system other,其他神经系统损伤,nerve injury; spinal cord injury,神经损伤; 脊髓损伤,,,,,,,,,"S04.0; S04.1; S04.2; S04.3; S04.4; S04.5; S04.6; S04.7; S04.8; S04.9; S09.9; S14.0; S14.1; S14.2; S14.3; S14.4; S14.5; S14.6; S24.0; S24.1; S24.2; S24.3; S24.4; S24.5; S24.6; S34.0; S34.1; S34.2; S34.3; S34.4; S34.5; S34.6; S34.8; S44.0; S44.1; S44.2; S44.3; S44.4; S44.5; S44.7; S44.8; S44.9; S54.0; S54.1; S54.2; S54.3; S54.7; S54.8; S54.9; S64.0; S64.1; S64.2; S64.3; S64.4; S64.7; S64.8; S64.9; S74.0; S74.1; S74.2; S74.7; S74.8; S74.9; S84.0; S84.1; S84.2; S84.7; S84.8; S84.9; S94.0; S94.1; S94.2; S94.3; S94.7; S94.8; S94.9; T06.0; T06.1; T06.2; T09.3, T09.4; T11.3; T11.4; T13.3; T14.4"
N85,congenital,N.7,Congenital anomaly neurological,先天性神经异常,Congenital anomaly neurological,先天性神经异常,hydrocephalus; spina bifida,脑积水；脊柱裂,,,,,,,,,Q00.0; Q00.1; Q00.2; Q01.0; Q01.1; Q01.2; Q01.8; Q01.9; Q02; Q03.0; Q03.1; Q03.8; Q03.9; Q04.0; Q04.1; Q04.2; Q04.3; Q04.4; Q04.5; Q04.6; Q04.8; Q04.9; Q05.0; Q05.1; Q05.2; Q05.3; Q05.4; Q05.5; Q05.6; Q05.7; Q05.8; Q05.9; Q06.0; Q06.1; Q06.2; Q06.3; Q06.4; Q06.8; Q06.9; Q07.0; Q07.8; Q07.9
N86,otherDiagnosis,N.7,Multiple sclerosis,多发性硬化症,Multiple sclerosis,多发性硬化症,disseminated sclerosis,弥漫性硬化症,,,exacerbations/remissions of multiple neurological manifestation with deficits/derangements disseminated in both time and site (any combination of neurological signs and symptoms is possible),多发性神经系统表现加重/缓解伴时间及部位播散的缺损/紊乱（任何组合的神经系统体征和症状均有可能）,other neurological symptom ,其他神经系统症状,,,G35
N87,otherDiagnosis,N.7,Parkinsonism,帕金森综合征,Parkinsonism,帕金森综合征,drug induced Parkisonism; paralysis agitans; Parkinson's disease,药物诱发的帕金森综合征；激越性瘫痪；帕金森病,,,"poverty and slowness of voluntary movements, resting tremor improving with active purposeful movement and muscular rigidity",自愿运动的迟缓和贫困，静止性震颤在主动目的性运动时改善及肌肉强直,abnormal involuntary movements ,异常不自主运动,,,G20; G21.0; G21.1; G21.2; G21.3; G21.4; G21.8; G21.9; G22
N88,otherDiagnosis,N.7,Epilepsy,癫痫,Epilepsy,癫痫,All types of epilepsy:; focal seizures; generalized seizures; grand mal; petit mal; status epilepticus,所有类型的癫痫：；局灶性发作；全面性发作；大发作；小发作；癫痫持续状态,,,"recurrent episodes of sudden altered consciousness, with/without tonic/clonic movements/seizure, plus either eyewitness account of the attack, or characteristic abnormality of electroencephalogram (EEG)",反复发作的突然意识改变，伴有或不伴有强直/阵挛运动/癫痫发作，加上目击者的描述或特征性的脑电图（EEG）异常,convulsion ,癫痫发作,,,G40.0; G40.1; G40.2; G40.3; G40.4; G40.5; G40.6; G40.7; G40.8; G40.9; G41.0; G41.1; G41.2; G41.8; G41.9
N89,otherDiagnosis,N.7,Migraine,"migraine

中文翻译：偏头痛",Migraine,"migraine

中文翻译：偏头痛",vascular headache with/without aura,血管性头痛伴或不伴有先兆,cervicogenic headache ,颈椎源性头痛,recurrent episodes of headache with three or more of  the following: unilateral headache; nausea/vomiting; aura; other neurological symptoms; family history of migraine,反复发作的头痛，伴有以下3项或更多症状：单侧头痛；恶心/呕吐；先兆；其他神经系统症状；家族中有偏头痛史,headache ,头痛,,,G43.0; G43.1; G43.2; G43.3; G43.8; G43.9; G44.1
N90,otherDiagnosis,N.7,Cluster headache,丛集性头痛,Cluster headache,丛集性头痛,,,migraine ,偏头痛,"attacks of severe, often excruciating unilateral pain peri-orbitally and/or temporally, occurring up to 8 times a day, sometimes associated with conjunctival injection, lacrimation, nasal congestion, rhinorrhoea, sweating, miosis, ptosis, or eyelid edema. Attacks occur in cluster periods lasting weeks/months, separated by remissions lasting months/years",严重的单侧眼眶周围和/或颞部剧痛发作，每天可多达8次，有时伴有结膜充血、流泪、鼻塞、流涕、出汗、瞳孔缩小、上睑下垂或眼睑水肿。发作发生在持续数周至数月的丛集期，由持续数月至数年的缓解期隔开,,,,,G44.0
N91,otherDiagnosis,N.7,Facial paralysis/bell's palsy,面瘫/贝尔麻痹,Facial paralysis/bell's palsy,面瘫/贝尔麻痹,,,,,acute onset of unilateral paralysis of muscles of facial expression without sensory loss,急性单侧面肌瘫痪起病，无感觉丧失,paralysis/weakness ,瘫痪/无力,,,G51.0; G51.1; G51.2; G51.3; G51.4; G51.8; G51.9; G53.0; G53.1; G53.2; G53.3; G53.8
N92,otherDiagnosis,N.7,Trigeminal neuralgia,三叉神经痛,Trigeminal neuralgia,三叉神经痛,tic douloureux,阵痛性抽搐症,post-herpetic neuralgia ,带状疱疹后神经痛,"unilateral paroxysms of burning facial pain aggravated by touching triggerpoints, blowing nose or yawning, without sensory or motor paralysis",一侧阵发性烧灼面部痛，触碰触发点、擤鼻或打哈欠时加重，无感觉或运动麻痹,neuralgia NOS ,神经痛 NOS,,,G50.0; G50.8; G50.9
N93,otherDiagnosis,N.7,Carpal tunnel syndrome,腕管综合征,Carpal tunnel syndrome,腕管综合征,,,,,"loss/impairment of superficial sensation affecting the thumb, index and middle finger, that may or may not split the ring finger. Dysesthesia and pain worsen usually during the night, and may radiate to the forearm",浅感觉丧失/障碍累及拇指、食指和中指，可能包括无名指。异样感觉和疼痛通常在夜间加重，并可放射至前臂,sensation disturbance ,感觉障碍,,,G56.0
N94,otherDiagnosis,N.7,Peripheral neuritis/neuropathy,周围神经炎/周围神经病变,Peripheral neuritis/neuropathy,周围神经炎/周围神经病变,"acute infective polyneuropathy; diabetic neuropathy (double code with T89, T90); Guillain-Barre syndrome; nerve lesion; neuropathy; phantom limb",急性感染性多发神经病；糖尿病性神经病变（与T89，T90双重编码）；吉兰-巴雷综合征；神经损伤；神经病变；幻肢症,post-herpetic neuropathy ,带状疱疹后神经痛,"sensory, reflex and motor changes confined to the territory of individual nerves, sometimes without apparent cause, sometimes secondary to a specific disease, e.g. diabetes",感觉、反射和运动改变局限于个别神经的分布区域，有时无明显原因，有时继发于特定疾病，如糖尿病,,,,,G54.0; G54.1; G54.2; G54.3; G54.4; G54.5; G54.6; G54.7; G54.8; G54.9; G55.0; G55.1; G55.2; G55.3; G55.8; G56.1; G56.2; G56.3; G56.4; G56.8; G56.9; G57.0; G57.1; G57.2; G57.3; G57.4; G57.5; G57.6; G57.8; G57.9; G58.0; G58.7; G58.8; G58.9; G59.0; G59.8; G60.0; G60.1; G60.2; G60.3; G60.8; G60.9; G61.0; G61.1; G61.8; G61.9; G62.0; G62.1; G62.2; G62.8; G62.9; G63.0; G63.1; G63.2; G63.3; G63.4; G63.5; G63.6; G63.8; G64; M79.2
N95,otherDiagnosis,N.7,Tension headache,紧张性头痛,Tension headache,紧张性头痛,,,migraine ,偏头痛,"pressing, generalized headache associated with stress and muscle tension with/without increased tenderness of pericranial muscles",与压力和肌肉紧张相关的广泛性头痛，伴/不伴有头皮肌触痛增加,headache ,头痛,,,G44.2
N99,otherDiagnosis,N.7,Neurological disease other,其他神经系统疾病,Neurological disease other,其他神经系统疾病,cerebral palsy; motor neurone disease; myasthenia gravis; neuralgia NOS,脑瘫；运动神经元疾病；重症肌无力；神经痛 NOS,sleep apnoea ,睡眠呼吸暂停症,,,,,,,E51.2; G10; G11.0; G11.1; G11.2; G11.3; G11.4; G11.8; G11.9; G12.0; G12.1; G12.2; G12.8; G12.9; G13.0; G13.1; G13.2; G13.8; G23.0; G23.1; G23.2; G23.3; G23.5; G23.8; G23.9; G24.0; G24.1; G24.2; G24.3; G24.4; G24.5; G24.8; G24.9; G26; G31.0; G31.1; G31.8; G31.9; G32.0; G32.8; G36.0; G36.1; G36.8; G36.9; G37.0; G37.1; G37.2; G37.3; G37.4; G37.5; G37.8; G37.9; G52.0; G52.1; G52.2; G52.3; G52.7; G52.8; G52.9; G70.0; G70.1; G70.2; G70.8; G70.9; G71.0; G71.1; G71.2; G71.3; G71.8; G71.9; G72.0; G72.1; G72.2; G72.3; G72.4; G72.8; G72.9; G73.0; G73.1; G73.2; G73.3; G73.4; G73.5; G73.6; G73.7; G80.0; G80.1; G80.2; G80.3; G80.4; G80.8; G80.9; G90.0; G90.1; G90.2; G90.4; G90.8; G90.9; G91.0; G91.1; G91.2; G91.3; G91.8; G91.9; G92; G93.0; G93.1; G93.2; G93.4; G93.5; G93.6; G93.7; G93.8; G93.9; G94.0; G94.1; G94.2; G94.8; G95.0; G95.1; G95.2; G95.8; G95.9; G96.0; G96.1; G96.8; G96.9; G98; G99.0; G99.1; G99.2; G99.8; M79.2; Z98.2
P01,symptom,P.1,Feeling anxious/nervous/tense,焦虑/紧张,Feeling anxious/nervous/tense,焦虑/紧张,anxiety NOS; feeling frightened,焦虑 NOS；感到恐惧,anxiety disorder ,焦虑障碍,feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder. A gradual transition exists from feelings that are unwelcome - but quite normal - and feelings that are so troublesome to the patient that professional help is sought,患者报告的作为情感或心理体验而非归因于精神障碍的存在的情感或心理感受。从令人不悦但相当正常的感觉到令患者困扰至寻求专业帮助的程度存在一个渐进的过渡过程,,,,,R45.0
P02,symptom,P.1,Acute stress reaction,急性应激反应,Acute stress reaction,急性应激反应,adjustment disorder; culture shock; feeling stressed/grief/ homesick; immediate post-traumatic stress; shock (psychic),适应障碍；文化冲击；感到压力/悲伤/思乡；急性应激反应；心理休克,feeling depressed ,抑郁感,"a reaction to a stressful life event or significant life change requiring a major adjustment, either as an expected response to the event or as a maladaptive response interfering with daily coping and resulting in impaired social functioning, with recovery within a limited period of time",对生活中的应激事件或重大生活变化作出反应，需要进行重大的调整，无论是作为对应事件的预期反应，还是作为一种适应不良的反应，干扰日常应对并导致社会功能受损，在有限的时间内可以恢复,,,,,F43.0; F43.2; F43.8; F43.9
P03,symptom,P.1,Feeling depressed,抑郁感,Feeling depressed,抑郁感,feeling inadequate; unhappy; worried,感到不足；不快乐；担忧,low self-esteem ,低自尊心,feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder. A gradual transition exists from feelings that are unwelcome - but quite normal - and feelings that are so troublesome to the patient that professional help is sought,患者报告的作为情感或心理体验而非归因于精神障碍的存在的情感或心理感受。从令人不悦但相当正常的感觉到令患者困扰至寻求专业帮助的程度存在一个渐进的过渡过程,,,,,R45.2; R45.3
P04,symptom,P.1,Feeling/behaving irritable/angry,易激惹/愤怒感,Feeling/behaving irritable/angry,易激惹/愤怒感,agitation NOS; restlessness NOS,激越性不安 NOS；烦躁不安 NOS,overactive child ,过度活跃儿童,"feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder, or behaviour indicating irritability or anger. A gradual transition exists from feelings or behaviour that are unwelcome - but quite normal - and those that are so troublesome that professional help is sought",患者报告的作为情感或心理体验而非归因于精神障碍存在的感觉，或是表现出易怒或愤怒的行为。从令人不悦但相当正常的感受或行为到麻烦到需要专业帮助的程度存在一个渐进的过渡期,,,,,R45.1; R45.4; R45.5; R45.6
P05,symptom,P.1,"Senility, feeling/behaving old",老年期，感觉/表现衰老,"Senility, feeling/behaving old",老年期，感觉/表现衰老,concern with aging; senescence,与衰老有关；衰老,dementia ,痴呆症,feelings reported by the patient as an emotional or psychological experience not attributed to the presence of a mental disorder. A gradual transition exists from feelings that are unwelcome - but quite normal - and feelings that are so troublesome to the patient that professional help is sought,患者报告的作为情感或心理体验而非归因于精神障碍的存在的情感或心理感受。从令人不悦但相当正常的感觉到令患者困扰至寻求专业帮助的程度存在一个渐进的过渡过程,,,,,R54
