HPO编码,标准名称（英文）,定义,注释,精确同义词（多个用分号分隔）,相关同义词（多个用分号分隔）,父类HPO编码（多个用分号分隔）,子类HPO编码（多个用分号分隔）,是否为叶子节点,替代ID（多个用分号分隔）,是否已废弃,被替换为,创建日期,外部引用（多个用分号分隔）
HP:0000584,Punctate corneal epithelial erosions,,,,,HP:0200020,,是,,否,,,UMLS:C1832170
HP:0000585,Band keratopathy,"An abnormality of the cornea characterized by the deposition of calcium in a band across the central cornea, leading to decreased vision, foreign body sensation, and ocular irritation.",,Calcific band keratopathy,,HP:0011493,,是,,否,,,SNOMEDCT_US:35055000; UMLS:C0155120
HP:0000586,Shallow orbits,Reduced depth of the orbits associated with prominent-appearing ocular globes.,,Decreased depth of orbits; Shallow eye sockets; Small shallow orbits; Decreased depth of eye sockets,,HP:0000520; HP:3000030,,是,HP:0002706,否,,,UMLS:C1865244
HP:0000587,Abnormal optic nerve morphology,Abnormality of the optic nerve.,"The optic nerve, which is also known as cranial nerve II, transmits visual information from the retina to the brain. The term 'optic disc' is frequently used to describe the portion of the optic nerve clinically visible on fundoscopic examination.",Abnormality of the optic nerve; Optic nerve issue; optic nerve abnormalities,,HP:0001098,HP:0001093; HP:0001112; HP:0001138; HP:0007807; HP:0008058; HP:0012795; HP:0100653; HP:0200057,否,,否,,,UMLS:C0029131
HP:0000588,Optic disc coloboma,A cleft of the optic nerve that extends inferiorly.,"A congenital, unilateral or bilateral congenital condition caused by incomplete closure of the embryonic fissure.",Optic nerve coloboma; Optic disc coloboma; Coloboma of optic nerve,,HP:0012795; HP:0000589,,是,HP:0007997,否,,,SNOMEDCT_US:17541006; SNOMEDCT_US:44295002; UMLS:C0155299
HP:0000589,Coloboma,A developmental defect characterized by a cleft of some portion of the eye or ocular adnexa.,,Ocular colobomas; Ocular coloboma; Notched pupil,,HP:0012372,HP:0000480; HP:0000567; HP:0000588; HP:0000612; HP:0100719,否,HP:0007767; HP:0007995,否,,,Fyler:4311; SNOMEDCT_US:92828000; SNOMEDCT_US:93390002; UMLS:C0009363
HP:0000590,Progressive external ophthalmoplegia,Initial bilateral ptosis followed by limitation of eye movements in all directions and slowing of saccades.,"Progressive external ophthalmoplegia (PEO) can be regarded as a diagnosis, or as a feature of several other syndromes. The latter is the meaning of this term.","External ophthalmoplegia, progressive",,HP:0000544,,是,HP:0000562,否,,,SNOMEDCT_US:46252003; UMLS:C0162674
HP:0000591,Abnormal sclera morphology,An abnormality of the sclera.,,Abnormality of the sclera,,HP:0012372,HP:0000592; HP:0001140; HP:0007832; HP:0100011; HP:0100532; HP:0100534,否,,否,,,UMLS:C4025840
HP:0000592,Blue sclerae,An abnormal bluish coloration of the sclera.,,Grey sclerae; Bluish sclerae; Whites of eyes are a bluish-gray colour; Blue sclera; Whites of eyes are a bluish-gray color; Gray sclerae,,HP:0000591,,是,,否,,,SNOMEDCT_US:204164000; UMLS:C0542514
HP:0000593,Abnormal anterior chamber morphology,"Abnormality of the anterior chamber, which is the space in the eye that is behind the cornea and in front of the iris.",,Anterior chamber anomalies; Abnormality of the anterior chamber; Ocular anterior chamber abnormality,,HP:0004328,HP:0000594; HP:0007765; HP:0007833; HP:0008037; HP:0011485; HP:0012630,否,,否,,,SNOMEDCT_US:204142009; UMLS:C3152182
HP:0000594,Shallow anterior chamber,"Reduced depth of the anterior chamber, i.e., the anteroposterior distance between the cornea and the iris is decreased.",,,,HP:0000593,,是,HP:0007756,否,,,SNOMEDCT_US:246986004; UMLS:C0423276
HP:0000597,Ophthalmoparesis,Ophthalmoplegia is a paralysis or weakness of one or more of the muscles that control eye movement.,,Extraocular muscle palsy; Extraocular muscle paralysis; Weakness of muscles controlling eye movement; Weakness of extraocular eye movement,,HP:0000496,HP:0000602; HP:0007715; HP:0008507; HP:0012246; HP:0012470,否,HP:0007701; HP:0008044,否,,,UMLS:C0751401
HP:0000598,Abnormality of the ear,An abnormality of the ear.,Either a morphological abnormality or hearing deficit. This should be split more cleanly in the future.,Ear anomaly; Abnormality of the ear,,HP:0000118,,是,,否,,,SNOMEDCT_US:275259005; UMLS:C0266589
HP:0000599,Abnormality of the frontal hairline,"An anomaly in the placement or shape of the hairline (trichion) on the forehead, that is, the border between skin on the forehead that has head hair and that does not.",,Abnormality of hairline at front of head; Abnormality of the frontal hairline,,HP:0000290; HP:0009553,HP:0000294; HP:0004768; HP:0005325; HP:0009890,否,,否,,2008-02-27T05:34:00Z,UMLS:C4025839
HP:0000600,Abnormality of the pharynx,"An anomaly of the pharynx, i.e., of the tubular structure extending from the base of the skull superiorly to the esophageal inlet inferiorly.","The pharynx is tubular structure extending from base of skull superiorly to esophageal inlet inferiorly, and is composed of three distinct areas: the nasopharynx, the oropharynx, and the hypopharynx, with the pharyngeal walls being composed of the superior, middle, and inferior pharyngeal constrictor muscles. It is part of the digestive system and of the conducting zone of the respiratory system.",,,HP:0002087,HP:0006783,否,,否,,,UMLS:C4025838
HP:0000601,Hypotelorism,"Interpupillary distance less than 2 SD below the mean (alternatively, the appearance of an decreased interpupillary distance or closely spaced eyes).",,Decreased distance between eye sockets; Decreased orbital separation; Closely spaced eyes; Decreased distance between eyes; Abnormally close eyes; Decreased interpupillary distance; Ocular hypotelorism,,HP:0100886,,是,HP:0007877,否,,,SNOMEDCT_US:44593008; UMLS:C0424711
HP:0000602,Ophthalmoplegia,Paralysis of one or more extraocular muscles that are responsible for eye movements.,,Eye muscle paralysis; Paralysis of extraocular eye movement,,HP:0000597,HP:0000544; HP:0000623; HP:0007650; HP:0007824; HP:0007942,否,,否,,,SNOMEDCT_US:16110005; UMLS:C0029089
HP:0000603,Central scotoma,An area of depressed vision located at the point of fixation and that interferes with central vision.,,Central scotomata; Central blind spot,,HP:0000575,,是,,否,,,SNOMEDCT_US:38950008; UMLS:C0152191; UMLS:C4280624
HP:0000605,Supranuclear gaze palsy,"A supranuclear gaze palsy is an inability to look in a particular direction as a result of cerebral impairment. There is a loss of the voluntary aspect of eye movements, but, as the brainstem is still intact, all the reflex conjugate eye movements are normal.",,Supranuclear gaze paralysis,,HP:0000549,HP:0000511; HP:0007817,否,,否,,,SNOMEDCT_US:420675003; UMLS:C1720037
HP:0000606,Abnormality of the periorbital region,An abnormality of the region situated around the orbit of the eye.,,,,HP:0000271,HP:0000607; HP:0000629; HP:0001106; HP:0011232; HP:0011336; HP:0100538; HP:0100539; HP:0100876,否,,否,,,UMLS:C4025837
HP:0000607,Periorbital wrinkles,,,Periorbital rhytids; Wrinkles around the eyes; Periorbital wrinkling; Excess periorbital skin wrinkling,,HP:0000606; HP:0100678,,是,,否,,,UMLS:C1844605
HP:0000608,Macular degeneration,A nonspecific term denoting degeneration of the retinal pigment epithelium and/or retinal photoreceptor cells of the macula lutea.,,,,HP:0001103; HP:0000546,HP:0007401; HP:0008028,否,HP:0007694; HP:0007868,否,,,
HP:0000609,Optic nerve hypoplasia,Underdevelopment of the optic nerve.,Double ring sign of optic nerve head is a characteristic fundus finding in cases with optic nerve head hypoplasia.,Underdeveloped optic nerves; Hypoplastic optic nerves,Double ring sign,HP:0002977; HP:0008058,HP:0100842,否,HP:0007273,否,,,SNOMEDCT_US:95499004; UMLS:C0338502
HP:0000610,Abnormal choroid morphology,Any structural abnormality of the choroid.,,Abnormality of the choroid,Choroid disease,HP:0001098; HP:0000553,HP:0000532; HP:0001139,否,HP:0001122; HP:0007757,否,,,UMLS:C0008521; UMLS:C4025836
HP:0000611,obsolete Choroid coloboma,,,,,,,是,,是,,,
HP:0000612,Iris coloboma,A coloboma of the iris.,,Cat eye; Coloboma of iris; Keyhole iris; Coloboma of the iris,,HP:0000589; HP:0000525,,是,HP:0007744; HP:0007748,否,,,UMLS:C0240063
HP:0000613,Photophobia,Excessive sensitivity to light with the sensation of discomfort or pain in the eyes due to exposure to bright light.,Note that the term photodysphoria is used to describe extreme photophobia.,Light hypersensitivity; Photodysphoria; Extreme sensitivity of the eyes to light,,HP:0000504,,是,,否,,,SNOMEDCT_US:246622003; SNOMEDCT_US:409668002; UMLS:C0085636; UMLS:C4020887
HP:0000614,Abnormal nasolacrimal system morphology,"An abnormality of the nasolacrimal drainage system, which serves as a conduit for tear flow from the external eye to the nasal cavity.","The nasolacrimal system consists of the puncta, canaliculi, lacrimal sac, and nasolacrimal duct.",Abnormality of the nasolacrimal system,,,HP:0000620; HP:0011479; HP:0011481; HP:0011482; HP:3000066,否,,否,,,UMLS:C4025835
HP:0000615,Abnormal pupil morphology,An abnormality of the pupil.,,Pupillary abnormalities; Abnormality of the pupil; Abnormal pupillary morphology; Pupillary abnormality,,HP:0000525,HP:0000555; HP:0009916; HP:0009917; HP:0009918; HP:0011500,否,HP:0008018; HP:0030960,否,,,SNOMEDCT_US:274093008; UMLS:C0154936
HP:0000616,Miosis,Abnormal (non-physiological) constriction of the pupil.,,Pupillary constriction; Constricted pupils,,HP:0007686,HP:0002277; HP:0007728,否,,否,,,SNOMEDCT_US:63251006; UMLS:C0026205
HP:0000617,Abnormality of ocular smooth pursuit,An abnormality of eye movement characterized by impaired smooth-pursuit eye movements.,"Tracking eye movements consist of two different components, namely, smooth pursuit and saccades. Smooth pursuit, or just pursuit, is a class of rather slow eye movements that minimizes retinal target motion. Saccades are rapid eye movements that align the fovea with the target. Slow-pursuit eye movements are involved in tracking a slowly moving target after the saccadic system has placed the image of the target on the fovea.",Irregular visual pursuit movements; Impaired smooth pursuit ocular movements; Abnormal smooth pursuits; Disrupted ocular pursuit movements,,HP:0000496,HP:0001152; HP:0007668; HP:0007772; HP:0008003,否,HP:0007671; HP:0008006,否,,,UMLS:C1836393
HP:0000618,Blindness,"Blindness is the condition of lacking visual perception defined as a profound reduction in visual perception. On the 6m visual acuity scale, blindness is defined as less than 3/60. On the 20ft visual acuity scale, blindness is defined as less than 20/400. On the decimal visual acuity scale, blindness is defined as less than 0.05. Blindness is typically characterized by a visual field of no greater than 10 degrees in radius around central fixation.",Various scales have been developed to describe the extent of vision loss and define blindness. Total blindness is the complete lack of form and visual light perception and is clinically recorded as NLP (no light perception). Blindness is frequently used to describe severe visual impairment with residual vision. Those described as having only light perception have no more sight than the ability to tell light from dark and the general direction of a light source.,Blindness; Total vision loss,Legal blindness,HP:0007663,HP:0007875,否,HP:0007839,否,,,Fyler:4866; SNOMEDCT_US:65956007; UMLS:C0271215; UMLS:C0456909
HP:0000619,Impaired convergence,Reduced ability to turn the eyes inward in order to focus on a nearby object.,Vergence alters the angle between the two eyes to adjust for changes in distance from the visual target.,Convergence insufficiency,,HP:0000549,,是,,否,,,SNOMEDCT_US:194131002; UMLS:C0271379
HP:0000620,Dacryocystitis,Inflammation of the nasolacrimal sac.,"Dacrocystitis is frequently caused by nasolacrimal duct obstruction or infection, which often results from stagnation of tears in a pathologically closed lacrimal drainage system. Note also that dacryocystistis has often been misspelled as dacrocystitis in the literature, but the correct spelling is dacryocystitis.",Dacrocystitis; Infection of the lacrimal sac,,HP:0000614,,是,,否,,,SNOMEDCT_US:85777005; UMLS:C0010930
HP:0000621,Entropion,An abnormal inversion (turning inward) of the eyelid (usually the lower) towards the globe. Entropion is usually acquired as a result of involutional or cicatricial processes but may occasionally be congenital.,The inward turned eyelid margin increases the potential for mechanical irritation of the eye by eyelashes. Entropion is to be distinguished from epiblepharon.,Eyelid turned in,Inverted eyelid,HP:0000492,,是,,否,,,SNOMEDCT_US:33168009; UMLS:C0014390
HP:0000622,Blurred vision,Lack of sharpness of vision resulting in the inability to see fine detail.,This is a very nonspecific term and it is preferable to describe the correlates of blurred vision with the corresponding terms if possible.,Blurred vision,,HP:0000504,HP:0001125,否,HP:0007723,否,,,SNOMEDCT_US:111516008; SNOMEDCT_US:246636008; UMLS:C0344232
HP:0000623,Supranuclear ophthalmoplegia,A vertical gaze palsy with inability to direct the gaze of the eyes downwards.,,,,HP:0000602,,是,,否,,,UMLS:C1408507
HP:0000625,Eyelid coloboma,A short discontinuity of the margin of the lower or upper eyelid.,"The lateral segment of the lower eyelid is most commonly involved. As the milder forms of this finding are clearly subjective and no boundary of subjective and objective is defined, the term is considered subjective. The term eyelid coloboma has been replaced because the word coloboma should be used only for defects at the site of fusion of embryologic structures, which is not the case here. Modifiers to designate the location of the cleft may be added, such as lower and lateral.",Full thickness defect of the eyelid; Cleft eyelid; Notched eyelid,,HP:0011226,HP:0000636; HP:0000652,否,,否,,,SNOMEDCT_US:95202004; UMLS:C0521573
HP:0000627,Posterior embryotoxon,A posterior embryotoxon is the presence of a prominent and anteriorly displaced line of Schwalbe.,"Schwalbe's line is the anatomical line found on the interior surface of the cornea, and delineates the outer limit of the corneal endothelium layer. Specifically, it represents the termination of Descemet's membrane. Up to 30% of the population has posterior embryotoxon as an isolated normal variant.",Embryotoxon,,HP:0008048,,是,HP:0100740,否,,,SNOMEDCT_US:253228006; SNOMEDCT_US:392437005; UMLS:C0344531; UMLS:C0546967
HP:0000629,Periorbital fullness,Increase in periorbital soft tissue.,,Puffiness around eye; Periorbital puffiness; Puffy eyes; Swelling around the eyes; Periorbital swelling,,HP:0000606,,是,,否,,,UMLS:C1858036
HP:0000630,Abnormal retinal arterial/arteriolar morphology,Any deviation from the normal structure of the retinal artery or arterioles.,,Abnormal retinal artery morphology; Abnormality of retinal arteries; Retinal arterial abnormality; Abnormal retinal arteriole morphology; Retinal arteriolar abnormality,,HP:0008046; HP:3000036; HP:0011004,HP:0000631; HP:0001136; HP:0007985; HP:0008030; HP:0008043; HP:0010729,否,,否,,,UMLS:C4021802
HP:0000631,Retinal arterial tortuosity,The presence of an increased number of twists and turns of the retinal artery.,"Normal retinal blood vessels are straight or gently curved. In some diseases, the blood vessels become tortuous, i.e. they become dilated and take on a serpentine path. The dilation is caused by radial stretching of the blood vessel and the serpentine path occurs because of longitudinal stretching. The tortuosity may be focal, occurring only in a small region of retinal blood vessels, or it may involve the entire retinal vascular tree.",Retinal artery tortuousity,,HP:0012841; HP:0000630; HP:0005116,HP:0007768,否,,否,,,SNOMEDCT_US:247123003; UMLS:C0423401
HP:0000632,Lacrimation abnormality,Abnormality of tear production.,,Abnormality of tear production,,HP:0012373,HP:0000633; HP:0009926; HP:0100274,否,HP:0000521,否,,,UMLS:C4021801
HP:0000633,Decreased lacrimation,"Abnormally decreased lacrimation, that is, reduced tear production.","As part of the lacrimal apparatus, the lacrimal gland participates in the maintenance of a healthy eye surface by producing the aqueous part of the tear film. Alacrimia and hypolacrimia, which are relatively rare during childhood or young adulthood, have their origin in a number of mechanisms which include agenesia, aplasia, hypoplasia, or incorrect maturation of the gland.",Decreased tear secretion; Hypolacrimia,,HP:0000632,HP:0000522,否,,否,,,UMLS:C0235857
HP:0000634,Impaired ocular abduction,An impaired ability of the eye to move in the outward direction (towards the side of the head).,,,,HP:0011347,,是,,否,,,UMLS:C1846462
HP:0000635,Blue irides,A markedly blue coloration of the iris.,,Blue eyes,,HP:0008034,,是,,否,,,SNOMEDCT_US:301952009; UMLS:C0578626
HP:0000636,Upper eyelid coloboma,A short discontinuity of the margin of the upper eyelid.,,Cleft upper eyelid; Upper eyelid colobomas; Coloboma of the upper eyelid; Full thickness defect of the upper eyelid; Notched upper eyelid,,HP:0000625,,是,,否,,,UMLS:C1863872
HP:0000637,Long palpebral fissure,"Distance between medial and lateral canthi is more than two standard deviations above the mean for age (objective); or, apparently increased length of the palpebral fissures.",,Long opening between the eyelids; Wide opening between the eyelids; Wide palpebral fissure; Long palpebral fissures; Broad palpebral fissure; Wide palpebral fissures; Broad opening between the eyelids,,HP:0200007,,是,HP:0007904,否,,,UMLS:C1849340
HP:0000639,Nystagmus,"Rhythmic, involuntary oscillations of one or both eyes related to abnormality in fixation, conjugate gaze, or vestibular mechanisms.",,"Involuntary, rapid, rhythmic eye movements",,HP:0012547,HP:0000640; HP:0000666; HP:0001361; HP:0001583; HP:0006934; HP:0010542; HP:0010544; HP:0012043,否,,否,,,SNOMEDCT_US:563001; UMLS:C0028738
HP:0000640,Gaze-evoked nystagmus,Nystagmus made apparent by looking to the right or to the left.,,,,HP:0000639,HP:0007979,否,,否,,,SNOMEDCT_US:29356006; UMLS:C0271390
HP:0000641,Dysmetric saccades,"The controller signal for saccadic eye movements has two components: the pulse that moves the eye rapidly from one point to the next, and the step that holds the eye in the new position. When both the pulse and the step are not the correct size, a dysmetric refixation eye movement results.",,Uncoordinated eye movement; Dysmetric eye saccades; Dysmetric eye movements,,HP:0000570,,是,,否,,,UMLS:C1836392
HP:0000642,Red-green dyschromatopsia,Difficulty with discriminating red and green hues.,,Red green color blindness; Dyschromatopsia with red-green confusion; Red green colour blindness,Red/green color vision defect; Red/green colour vision defect,HP:0007641,HP:0011520; HP:0011521; HP:0011522; HP:0200018,否,HP:0007960,否,,,SNOMEDCT_US:246674000; SNOMEDCT_US:77479002; UMLS:C0155016; UMLS:C1970168
HP:0000643,Blepharospasm,"A focal dystonia that affects the muscles of the eyelids and brow, associated with involuntary recurrent spasm of both eyelids.",,Eyelid twitching; Eyelid spasm; Spontaneous closure of eyelid; Involuntary closure of eyelid,,HP:0012179,,是,HP:0007907,否,,,SNOMEDCT_US:59026006; UMLS:C0005747
HP:0000646,Amblyopia,Reduced visual acuity that is uncorrectable by lenses in the absence of detectable anatomic defects in the eye or visual pathways.,"Ambylopia can result from visual deprivation during the critical period of development of visual abilities which lasts to about the age of 8 years. Thus, ambylopia can result from strabismus, anisometropia, or high hypermetropia in there is a failure to form a focused image in one or both eyes.",Wandering eye; Wandering eyes; Lazy eye,,HP:0007663,,是,,否,,,SNOMEDCT_US:387742006; UMLS:C0002418
HP:0000647,Sclerocornea,"A congenital anomaly in which a part or the whole of the cornea acquires the characteristics of sclera, resulting in clouding of the cornea.",,Hardening of skin and connective tissue,,HP:0007957,,是,,否,,,UMLS:C1853235
HP:0000648,Optic atrophy,Atrophy of the optic nerve. Optic atrophy results from the death of the retinal ganglion cell axons that comprise the optic nerve and manifesting as a pale optic nerve on fundoscopy.,"The diagnosis of optic atrophy is made when the optic disc loses its normal orange-pink color. Optic atrophy is an end stage that arises from myriad causes of optic nerve damage anywhere along the path from the retina to the lateral geniculate. Some of the most common etiologies are advanced glaucoma, optic neuritis, arteritic or non-arteritic ischemic optic neuropathy or a compressive lesion.",Optic nerve atrophy; Optic-nerve degeneration,,HP:0012795,HP:0007958,否,HP:0007751; HP:0007855,否,,,SNOMEDCT_US:76976005; UMLS:C0029124
HP:0000649,Abnormality of visual evoked potentials,"An anomaly of visually evoked potentials (VEP), which are electrical potentials, initiated by brief visual stimuli, which are recorded from the scalp overlying the visual cortex.","The terms visually evoked potential (VEP), visually evoked response (VER) and visually evoked cortical potential (VECP) are equivalent.",VEP abnormalities; Abnormal vision evoked potentials; Abnormal visual-evoked potentials; Abnormal visual evoked potential; Abnormal visual evoked responses,,,HP:0007928; HP:0007965,否,,否,,,SNOMEDCT_US:102968003; UMLS:C0522214
HP:0000650,Abnormal amplitude of pattern reversal visual evoked potentials,,,,,HP:0100289,,是,,否,,,UMLS:C4025834
HP:0000651,Diplopia,"Diplopia is a condition in which a single object is perceived as two images, it is also known as double vision.",,Double vision,,HP:0011514,,是,,否,,,SNOMEDCT_US:24982008; UMLS:C0012569
HP:0000652,Lower eyelid coloboma,A short discontinuity of the margin of the lower eyelid.,,Full thickness defect of the lower eyelid; Lower lid coloboma; Cleft lower eyelid; Notched lower eyelid; Coloboma of lower eyelid,,HP:0000625,,是,HP:0007909,否,,,UMLS:C1837826
HP:0000653,Sparse eyelashes,Decreased density/number of eyelashes.,,Scant eyelashes; Hypotrichosis of eyelashes; Partial absence of eyelashes; Thin eyelashes; Scanty eyelashes; Sparse eyelashes,,HP:0200102; HP:0008070,HP:0007776,否,HP:0002284; HP:0004519; HP:0004531; HP:0004555; HP:0004777; HP:0007853,否,,,UMLS:C1843300
HP:0000654,Decreased light- and dark-adapted electroretinogram amplitude,Decreased amplitude of eletrical response upon electroretinography.,,Flattened or absent electroretinogram; Decreased electroretinogram amplitude; Decreased electroretinogram response; Decreased amplitudes on flash visual electroretinogram; Decreased ERG amplitude; Reduced ERG; Reduced electroretinogram; Decreased electroretinogram; Reduced or abolished electroretinogram,,HP:0008323,,是,HP:0007636; HP:0007689; HP:0007845,否,,,UMLS:C1839025
HP:0000655,obsolete Vitreoretinal degeneration,,,,,,,是,,是,,,
HP:0000656,Ectropion,An outward turning (eversion) or rotation of the eyelid margin.,Ectropion is frequently associated wit overexposure of the palpebral and scleral conjunctiva and cornea. It usually involves the lower eyelid.,Eyelid turned out,Everted eyelid,HP:0000492,HP:0007651; HP:0007655,否,,否,,,SNOMEDCT_US:127559009; SNOMEDCT_US:62909004; UMLS:C0013592
HP:0000657,Oculomotor apraxia,"Ocular motor apraxia is a deficiency in voluntary, horizontal, lateral, fast eye movements (saccades) with retention of slow pursuit movements. The inability to follow objects visually is often compensated by head movements. There may be decreased smooth pursuit, and cancelation of the vestibulo-ocular reflex.","Oculomotor apraxia leads defective or absent horizontal voluntary eye movements with head thrusting to look at objects to the side as well as jerky, abnormal eye movements.",Ocular motor apraxia,Defective or absent horizontal voluntary eye movements,HP:0002186; HP:0000496,,是,HP:0000628; HP:0007764,否,,,SNOMEDCT_US:193662007; UMLS:C3489733; UMLS:C4020886
HP:0000658,Eyelid apraxia,,,Difficulty opening the eyelids,,HP:0002186,,是,,否,,,SNOMEDCT_US:423142006; UMLS:C1142448
HP:0000659,Peters anomaly,"A form of anterior segment dysgenesis in which abnormal cleavage of the anterior chamber occurs. Peters anomaly is characterized by central, paracentral, or complete corneal opacity.",,,,HP:0007700,,是,,否,,,SNOMEDCT_US:204153003; UMLS:C0344559
HP:0000660,Lipemia retinalis,"A creamy appearance of the retinal blood vessels that occurs when the concentration of lipids in the blood is extremely increased, with pale pink to milky white retinal vessels and altered pale reflexes from choroidal vasculature.","Lipemia retinalis is thought to be directly correlated with the serum triglyceride level; typically, the retinal findings do not occur until the triglyceride level reaches 2500 mg per deciliter (28.2 mmol per liter).",,,HP:0008046,,是,,否,,,SNOMEDCT_US:95692001; UMLS:C0339477
HP:0000661,Palpebral fissure narrowing on adduction,,,,,HP:0000581,,是,,否,,,UMLS:C1846465
HP:0000662,Nyctalopia,Inability to see well at night or in poor light.,,Night-blindness; Poor night vision; Night blindness,Difficulties with night vision,HP:0000504,HP:0007642; HP:0007675; HP:0007830,否,HP:0007653; HP:0007725; HP:0007865; HP:0007895,否,,,SNOMEDCT_US:65194006; UMLS:C0028077; UMLS:C4020885
HP:0000664,Synophrys,Meeting of the medial eyebrows in the midline.,,Unibrow; Monobrow; Synophris,,HP:0000534; HP:0002219,,是,HP:0002210,否,,,SNOMEDCT_US:253207002; UMLS:C0431447
HP:0000666,Horizontal nystagmus,Nystagmus consisting of horizontal to-and-fro eye movements.,,"Nystagmus, horizontal",,HP:0000639,HP:0007286; HP:0007747; HP:0007811; HP:0007859; HP:0007979; HP:0008026,否,,否,,,SNOMEDCT_US:81756001; UMLS:C0271385
HP:0000667,Phthisis bulbi,Atrophy of the eyeball with blindness and decreased intraocular pressure due to end-stage intraocular disease.,Phthisis bulbi refers to atrophy and degeneration of a blind eye.,,,HP:0012372,,是,,否,,,SNOMEDCT_US:4229009; UMLS:C0271007
HP:0000668,Hypodontia,The absence of five or less teeth from the normal series by a failure to develop.,"Hypodontia needs to be confirmed by X-rays. The terms hypodontia and oligodontia have been used interchangeably in literature but these define two different clinical entities. Hypodontia has been used to define exclusively the absence of permanent teeth and excluding third molars, but the absence of any deciduous and permanent teeth, including third molars, should be called hypodontia as well.",Failure of development of between one and six teeth,Missing between one and six teeth,HP:0009804,,是,,否,,,SNOMEDCT_US:64969001; UMLS:C0020608
HP:0000670,Carious teeth,Caries is a multifactorial bacterial infection affecting the structure of the tooth. This term has been used to describe the presence of more than expected dental caries.,It should be noted that it is not always possible to rule out environmental influences and that reports of association between hereditary diseases and susceptibility to dental caries should be regarded with caution.,Frequent caries; Dental caries; Early dental caries; Caries; Cariosity of teeth; Tooth cavities; Tooth decay; Dental cavities,Dental decay; Rotting teeth,HP:0011061,,是,HP:0006295; HP:0006306,否,,,SNOMEDCT_US:80967001; UMLS:C0011334; UMLS:C4280623
HP:0000674,Anodontia,The absence of all teeth from the normal series by a failure to develop.,"Anodontia can affect both primary and permanent teeth. Alternatively, there can be anodontia of just the permanent teeth. Anodontia must be distinguished from non-erupted teeth.",Anodontia vera; Complete agenesis of all teeth; Complete dental agenesis; Failure of development of all teeth,Missing all teeth; Total absence of all teeth,HP:0009804,,是,HP:0006484,否,,,SNOMEDCT_US:16958000; SNOMEDCT_US:26624006; UMLS:C0399352; UMLS:C4280622
HP:0000675,Macrodontia of permanent maxillary central incisor,Increased size of the maxillary central secondary incisor tooth.,,"Increased width of permanent maxillary central incisor; Long maxillary central incisors; Prominent upper incisors; Increased width of permanent upper central incisor; Prominent, protruding upper incisors",,HP:0011081,,是,,否,,,UMLS:C1835095; UMLS:C4280263; UMLS:C4280620; UMLS:C4280621
HP:0000676,Abnormality of the incisor,An abnormality of the Incisor tooth.,,,,HP:0000164,HP:0011062; HP:0011063; HP:0011064,否,HP:0006340,否,,,UMLS:C4025833
HP:0000677,Oligodontia,The absence of six or more teeth from the normal series by a failure to develop.,"The diagnosis of oligodontia requires a radiograph, as is true for anodontia and for the other designation of tooth agenesis, hypodontia. The terms hypodontia and oligodontia are sometimes used interchangeably in the literature while on other occasions hypodontia is used for selective agenesis of six or less missing teeth while oligodontia is applied when there are more than six missing teeth. Tooth agenesis or oligodontia/hypodontia can be mistaken for delayed eruption and again a radiograph is needed for diagnosis. Absence of teeth may be congenital (tooth agenesis) or acquired. The incidence of congenital absence of teeth is different depending on the type and position of the tooth [Gorlin et al, 2001].",Partial anodontia; Failure of development of more than six teeth,Missing more than six teeth; Number of teeth decreased by more than six,HP:0009804,HP:0012225,否,HP:0000702,否,,,UMLS:C4082304; UMLS:C4280619
HP:0000678,Dental crowding,Changes in alignment of teeth in the dental arch,Overlapping teeth within an alveolar ridge.,Dental overcrowding; Crowded teeth; Dental crowding; Overcrowding of teeth,,HP:0000692,,是,,否,,,SNOMEDCT_US:12351004; SNOMEDCT_US:699222000; UMLS:C0040433; UMLS:C1317785; UMLS:C4280617; UMLS:C4280618
HP:0000679,Taurodontia,Increased volume of dental pulp of permanent molar characterized by a crown body-root ratio equal or larger than 1:1 or an elongated pulp chambers and apical displacement of the bifurcation or trifurcation of the roots.,Taurodontia causes a molar shape that is visible on radiographs. Taurodontic teeth display proportionately short roots and enlarged pulp chambers. Body of the tooth and pulp chamber is enlarged.,Taurodont; Taurodontism,Large elongated pulp chamber,HP:0006479; HP:0011071; HP:0006486,,是,,否,,,SNOMEDCT_US:51744007; UMLS:C0266039; UMLS:C4280616
HP:0000680,Delayed eruption of primary teeth,Delayed tooth eruption affecting the primary dentition.,,Delayed primary teeth eruption; Delayed eruption of baby teeth; Delayed eruption of deciduous teeth; Delayed eruption of milk teeth; Late eruption of milk teeth; Late eruption of primary teeth; Late eruption of baby teeth,,HP:0006481; HP:0000684,,是,,否,,,UMLS:C1849538
HP:0000682,Abnormal dental enamel morphology,An abnormality of the dental enamel.,"The dental enamel is the external layer of the teeth, being a highly mineralized substance consisting primarily of hydroxylapatite.",Enamel abnormality; Enamel abnormalities; Abnormality of dental enamel; Abnormal tooth enamel,,HP:0011061; HP:3000050,HP:0000683; HP:0000705; HP:0006285; HP:0006297; HP:0009722,否,HP:0006322,否,,,UMLS:C4021800; UMLS:C4280262; UMLS:C4280615
