HPO编码,标准名称（英文）,标准名称（中文）,定义（中文）
HP:0025119,Violet lip discoloration,口唇青紫,
HP:0025122,Sawtooth acanthosis,锯齿棘皮症,
HP:0025123,White streaks/specks on enamel.,牙釉质上的白色条纹或斑点,
HP:0025124,Fragile teeth,牙齿发脆,
HP:0025125,White lesion of the oral mucosa,口腔黏膜白色病变。,
HP:0025126,Oral hairy leukoplakia,口腔毛状白斑,
HP:0025127,Actinic keratosis,光化性角化病,
HP:0025128,Reduced intraabdominal adipose tissue,腹腔内脂肪组织减少,
HP:0025129,Abnormal small intestinal mucosa morphology,小肠粘膜形态异常,
HP:0025130,Decreased small intestinal mucosa lactase level,小肠黏膜乳糖酶水平降低,
HP:0025131,Finger swelling,手指肿胀,
HP:0025132,Abnormal circulating estrogen level,循环雌激素水平异常,
HP:0025133,Abnormal serum estradiol,血清雌二醇异常,
HP:0025134,Increased serum estradiol,血清雌二醇增多,
HP:0025135,Abnormal serum estriol,血清雌三醇异常,
HP:0025136,Increased serum estriol,血清雌三醇增多,
HP:0025137,Decreased serum estriol,血清雌三醇降低,
HP:0025138,Abnormal serum estrone,血清雌酮异常,
HP:0025139,Increased serum estrone,血清雌酮升高,
HP:0025140,Decreased serum estrone,血清雌酮降低,
HP:0025141,Gingival calcification,牙龈钙化,
HP:0025142,Constitutional symptom,全身性症状,
HP:0025143,Chills,寒栗,
HP:0025144,Shivering,颤抖,
HP:0025145,Rigors,僵硬,
HP:0025146,Foveal degeneration,中心凹变性,
HP:0025147,Beaten bronze macular sheen,黄斑金属样光泽,
HP:0025148,Dark choroid,脉络膜湮没征,
HP:0025149,Atrophic muscularis propria,固有肌层萎缩,
HP:0025150,Hypoganglionosis,神经节细胞减少症,
HP:0025151,Ganglioneuromatosis,节细胞神经瘤,
HP:0025152,Poor visual behavior for age,视觉行为发育差,
HP:0025153,Transient,一过性,
HP:0025154,Portosystemic collateral veins,门体侧支静脉,
HP:0025155,Abnormality of hepatobiliary system physiology,肝胆系统生理异常,
HP:0025156,Dependency on intravenous nutrition,静脉营养依赖,
HP:0025157,Increased urinary sedoheptulose,尿液景天庚酮糖浓度增高,
HP:0025158,Hyperautofluorescent retinal lesion,视网膜自发强荧光病变,
HP:0025159,Hypoautofluorescent retinal lesion,视网膜自发弱荧光病变,
HP:0025160,Abnormal temper tantrums,异常发脾气,
HP:0025161,Frequent temper tantrums,频繁发脾气,
HP:0025162,Severe temper tantrums,严重脾气爆发/大发脾气,
HP:0025163,Abnormal optic chiasm morphology,视交叉形态异常,
HP:0025164,Increased number of elastic fibers in the dermis,真皮弹性纤维增多,
HP:0025165,Clumping of elastic fibers in the dermis,真皮弹性纤维团块,
HP:0025166,Thickened elastic fibers in the dermis,真皮弹性纤维增厚,
HP:0025167,Fragmented elastic fibers in the dermis,真皮弹性纤维碎裂,
HP:0025168,Left ventricular diastolic dysfunction,左心室舒张功能障碍,
HP:0025169,Left ventricular systolic dysfunction,左心室收缩功能障碍,
HP:0025170,Neuronal/glioneuronal neoplasm of the central nervous system,中枢神经系统神经元/神经胶质细胞瘤,
HP:0025171,Rosette-forming glioneuronal tumor,玫瑰花形神经胶质瘤,
HP:0025172,Smooth septal thickening on pulmonary HRCT,HRCT可见肺部间隔光滑性增厚,
HP:0025173,Nodular septal thickening on pulmonary HRCT,HRCT可见肺部间隔结节性增厚,
HP:0025174,Irregular septal thickening on pulmonary HRCT,HRCT可见肺部间隔不规则性增厚,
HP:0025175,Honeycomb lung,蜂窝状肺,
HP:0025176,Intralobular interstitial thickening,小叶间质增厚,
HP:0025177,Peribronchovascular interstitial thickening,支气管周围血管间质增厚,
HP:0025178,Subpleural interstitial thickening,胸膜下间质增厚,
HP:0025179,Ground-glass opacification,毛玻璃样结构,
HP:0025180,Centrilobular ground-glass opacification on pulmonary HRCT,肺部HRCT可见小叶中心性毛玻璃样结构,
HP:0025181,Abdominal aseptic abscess,腹腔无菌性脓肿,
HP:0025182,Localized area of pendulous skin,局限性皮肤松弛,
HP:0025186,Marcus Gunn jaw winking synkinesis,Marcus-Gunn下颌眼睑联动综合征,
HP:0025188,Retinal vasculitis,视网膜血管炎,
HP:0025190,Bilateral tonic-clonic seizure with generalized onset,双侧强直- 阵挛发作,
HP:0025192,Subtentorial periventricular white matter hyperdensity,幕下脑室周围白质高密度,
HP:0025193,Posterolateral diaphragmatic hernia,后外侧膈疝,
HP:0025194,Morgagni diaphragmatic hernia,Morgagni膈疝,
HP:0025195,Central diaphragmatic hernia,中央膈疝,
HP:0025196,Increased total iron binding capacity,总铁结合力增高,
HP:0025197,Inclusion body fibromatosis,包涵体纤维瘤病,
HP:0025198,Inflammatory cap polyp,炎性帽状息肉,
HP:0025200,Muscle fiber actin filament accumulation,肌纤维肌动蛋白丝堆积,
HP:0025201,Abnormal circulating apolipoprotein concentration,载脂蛋白水平异常,
HP:0025202,Elevated circulating apolipoprotein A-IV concentration,载脂蛋白A-IV水平增高,
HP:0025203,Caput medusae,脐周静脉曲张,
HP:0025204,Triggered by,触发,
HP:0025205,Triggered by breast feeding,母乳喂养触发,
HP:0025206,Triggered by cold,寒冷触发,
HP:0025207,Triggered by dehydration,脱水触发,
HP:0025208,Triggered by carbohydrate ingestion,碳水化合物触发,
HP:0025209,Triggered by fructose ingestion,果糖摄入触发,
HP:0025210,Triggered by glucose ingestion,葡萄糖摄入触发,
HP:0025211,Triggered by ethanol ingestion,乙醇摄入触发,
HP:0025212,Triggered by fasting,禁食触发,
HP:0025213,Triggered by galactose ingestion,半乳糖摄入触发,
HP:0025214,Triggered by heat,发热触发,
HP:0025215,Triggered by febrile illness,发热性疾病触发,
HP:0025216,Triggered by heavy meal,饱食触发,
HP:0025217,Triggered by high-fat diet,高脂饮食触发,
HP:0025218,Triggered by hyperventilation,过度换气触发,
HP:0025219,Triggered by vaccination,疫苗接种触发,
HP:0025220,Triggered by menstruation,月经触发,
HP:0025221,Triggered by pregnancy,妊娠触发,
HP:0025222,Triggered by sleep deprivation,睡眠剥夺触发,
HP:0025223,Triggered by smoking,吸烟触发,
HP:0025224,Triggered by sodium ingestion,钠摄入触发,
HP:0025225,Triggered by sound,声音触发,
HP:0025226,Triggered by stress,压力触发,
HP:0025227,Triggered by excitement,兴奋触发,
HP:0025228,Triggered by sudden movement,突然运动触发,
HP:0025229,Triggered by vestibular stimulation,前庭刺激触发,
HP:0025230,Tendonitis,肌腱炎,
HP:0025231,Abnormal synovial bursa morphology,滑膜囊形态异常,
HP:0025232,Bursitis,滑囊炎,
HP:0025233,Sleep paralysis,睡眠瘫痪,
HP:0025234,Parasomnia,异态睡眠,
HP:0025235,NREM parasomnia,非快速眼动期异态睡眠,
HP:0025236,Somnambulism,梦游症,
HP:0025237,Confusional arousal,觉醒障碍,
HP:0025238,Foot pain,足痛,
HP:0025239,Subhyaloid hemorrhage,玻璃体下出血,
HP:0025240,Preretinal hemorrhage,视网膜前出血,
HP:0025241,Flame-shaped retinal hemorrhage,火焰状视网膜出血,
HP:0025242,Dot-and-blot retinal hemorrhage,斑点状视网膜出血,
HP:0025243,Subretinal hemorrhage,视网膜下出血,
HP:0025244,Subretinal pigment epithelium hemorrhage,视网膜色素上皮下出血,
HP:0025245,Cutaneous cyst,皮肤囊肿,
HP:0025246,Trichilemmal cyst,毛鞘囊肿,
HP:0025247,Dermoid cyst,皮样囊肿,
HP:0025248,Eruptive vellus hair cyst,发疹性毛发囊肿,
HP:0025249,Comedo,粉刺,
HP:0025250,Closed comedo,闭合性粉刺,
HP:0025251,Open comedo,开放性粉刺,
HP:0025252,Geographic tongue,地图舌,
HP:0025253,Claustrophobia,幽闭恐惧症,
HP:0025254,Ameliorated by,缓解,
HP:0025255,Ameliorated by pregnancy,妊娠缓解,
HP:0025256,Ameliorated by heat,发热缓解,
HP:0025257,Ameliorated by carbohydrate ingestion,摄入碳水化合物缓解,
HP:0025258,Stiff neck,颈部僵硬,
HP:0025259,Stiff elbow,肘部僵硬,
HP:0025260,Stiff wrist,腕部僵硬,
HP:0025261,Stiff finger,手指僵硬,
HP:0025262,Stiff hip,髋部僵硬,
HP:0025263,Stiff knee,膝部僵硬,
HP:0025264,Stiff ankle,踝部僵硬,
HP:0025265,Stiff toe,脚趾僵硬,
HP:0025267,Snoring,打鼾,
HP:0025268,Stuttering,口吃,
HP:0025269,Panic attack,惊恐发作（急性焦虑发作）,
HP:0025270,Abnormal esophagus physiology,食管生理异常,
HP:0025271,Esophageal spasms,食管痉挛,
HP:0025272,Melasma,黄褐斑,
HP:0025273,Achilles tendonitis,跟腱炎,
HP:0025274,Ovarian dermoid cyst,卵巢皮样囊肿,
HP:0025275,Lateral,侧面,
HP:0025276,Abnormality of skin adnexa physiology,皮肤附属器异常,
HP:0025277,Gustatory sweating,味觉刺激出汗,
HP:0025278,Cold-induced sweating,寒冷刺激出汗,
HP:0025279,Migratory,游走性,
HP:0025280,Pain characteristic,疼痛的特征,
HP:0025281,Sharp,尖锐,
HP:0025282,Dull,钝性,
HP:0025283,Tender,温柔的,
HP:0025284,Sleep-interrupting,使睡眠中断的,
HP:0025285,Aggravated by,因……而加剧的,
HP:0025286,Aggravated by activity,因活动加剧,
HP:0025287,Axial,轴性,
HP:0025289,Cervical lymphadenopathy,颈部淋巴结病变,
HP:0025290,Upper-body predominance,上身优势,
HP:0025291,Lower-body predominance,下半身优势,
HP:0025292,Acral,肢端的,
HP:0025293,Distributed along Blaschko lines,沿Blashko线分布,
HP:0025294,Dermatomal,皮肤片区的,
HP:0025295,Herpetiform,疱疹样的,
HP:0025296,Morbilliform,麻疹样的,
HP:0025297,Prolonged,延长的,
HP:0025300,Malar rash,颧部皮疹,
HP:0025301,Nocturnal,夜间发作的,
HP:0025302,Diurnal,日间发作的,
HP:0025303,Episodic,不规则复发的,
HP:0025304,Periodic,周期性的,
HP:0025305,Quotidian,隔日,
HP:0025306,Acute emergence over minutes,数分钟内急性发作,
HP:0025307,Acute emergence over hours,数小时内急性发作,
HP:0025308,Acute emergence over days,数日内急性发作,
HP:0025309,Abnormal pupil shape,瞳孔形状异常,
HP:0025310,Oval pupil,椭圆形瞳孔,
HP:0025311,Anterior chamber cyst,前房囊肿,
HP:0025312,Esophoria,内隐斜,
HP:0025313,Exophoria,外隐斜,
HP:0025314,Choroidal nevus,脉络膜痣,
HP:0025315,Exacerbated by head trauma,头部创伤加重,
HP:0025317,Cubitus varus,肘内翻,
HP:0025318,Ovarian carcinoma,卵巢癌,
HP:0025320,Leakage of dye on fundus fluorescein angiography,眼底荧光造影荧光素渗漏,
HP:0025321,Copper accumulation in liver,肝内铜沉积,
HP:0025322,Venous occlusion,静脉闭塞,
HP:0025323,Abnormal arterial physiology,异常动脉生理学,
HP:0025324,Arterial occlusion,动脉闭塞,
HP:0025325,Sparse medial eyebrow,内侧眉毛稀疏,
HP:0025326,Retinal arterial occlusion,视网膜动脉阻塞,
HP:0025327,Decreased renal parenchymal thickness,肾皮质厚度变薄,
HP:0025328,Antepartum hemorrhage,产前出血,
HP:0025329,Anti-glutamic acid decarboxylase antibody positivity,抗谷氨酸脱羧酶抗体阳性,
HP:0025330,Downgaze palsy,向下凝视麻痹,
HP:0025331,Upgaze palsy,向上凝视麻痹,
HP:0025332,Abnormality of foot cortical bone,足皮质骨异常,
HP:0025333,Cortical thinning of foot bones,足骨皮质变薄,
HP:0025334,Triggered by emotion,情绪触发,
HP:0025335,Delayed ability to stand,站立能力延迟,
HP:0025336,Delayed ability to sit,独坐能力延迟,
HP:0025337,Red eye,红眼,
HP:0025338,Circumlimbal hyperemia,睫状充血（又称角膜周围充血）,
HP:0025339,Superficial episcleral hyperemia,浅层巩膜充血,
HP:0025340,Deep episcleral hyperemia,深层巩膜充血,
HP:0025341,Corneal keratic precipitates,角膜后沉着物,
HP:0025342,Central retinal artery occlusion,视网膜中央动脉闭塞,
HP:0025343,Lupus anticoagulant,狼疮抗凝剂,
HP:0025344,Interlobular bile duct destruction,小叶间胆道破坏,
HP:0025345,Abnormality of circulating beta-2-microglobulin level,循环β2-微球蛋白水平异常,
HP:0025346,Increased circulating beta-2-microglobulin level,循环β2-微球蛋白水平增高,
HP:0025347,Decreased circulating beta-2-microglobulin level,循环β2-微球蛋白水平降低,
HP:0025348,Abnormal corneal limbus morphology,角膜缘形态异常,
HP:0025349,Limbal edema,角膜缘水肿,
HP:0025350,Giant conjunctival papillae,巨大结膜乳头,
HP:0025351,Recurrent interdigital mycosis,复发性指（趾）间真菌病,
HP:0025352,Typically de novo,典型的新生突变,
HP:0025353,Anti-multiple nuclear dots antibody positivity,抗多核抗体阳性,
HP:0025354,Abnormal cellular phenotype,细胞表型异常,
HP:0025355,Retinal arterial macroaneurysms,视网膜大动脉瘤,
HP:0025357,Erratic myoclonus,不规则肌阵挛,
HP:0025358,Uveal ectropion,葡萄膜外翻,
HP:0025359,Polygonal renal calices,多边形肾盏,
HP:0025360,Polycalycosis,多肾盏畸形,
HP:0025361,Abnormal medullary pyramid morphology,髓质锥体形态异常,
HP:0025362,Renal medullary pyramid hypoplasia,肾髓锥体发育不全,
HP:0025363,Glomerular endocapillary hypercellularity,肾小球毛细血管内细胞增生,
HP:0025364,Glomerular extracapillary hypercellularity,肾小球毛细血管外细胞增生,
HP:0025367,Trichoepithelioma,毛发上皮瘤,
HP:0025368,Abnormal growth plate morphology,生长板形态异常,
HP:0025369,Thick growth plates,生长板增厚,
HP:0025370,Abnormal ossification of the sacrum,骶骨骨化异常,
HP:0025371,Delayed ossification of the sacrum,骶骨骨化延迟,
HP:0025372,Loud snoring,鼾声大,
HP:0025373,Interictal EEG abnormality,发作间期脑电图异常,
HP:0025374,Duplicated odontoid process,齿状突重复,
HP:0025375,Orthotopic os odontoideum,原位齿突骨,
HP:0025376,Hyperglutaminuria,高谷氨酰胺尿症,
HP:0025377,Triggered by exertion,活动触发,
HP:0025379,Anti-thyroid peroxidase antibody positivity,抗甲状腺过氧化物酶抗体阳性,
HP:0025380,Increased circulating androstenedione concentration,血液雄烯二酮升高,
HP:0025381,Anti-pituitary antibody positivity,抗垂体抗体阳性,
HP:0025382,Hypodipsia,渴感减退,
HP:0025383,Dorsocervical fat pad,颈背部脂肪垫,
HP:0025384,Diet-resistant subcutaneous adipose tissue,饮食抵抗性皮下脂肪组织,
HP:0025385,Diet-resistant subcutaneous adipose tissue below waist,腰部以下抗饮食性皮下脂肪组织,
HP:0025386,Bitemporal hollowing,双侧颞骨塌陷,
HP:0025387,Pill-rolling tremor,搓丸样震颤,
HP:0025388,Thyroid nodule,甲状腺结节,
HP:0025389,Pulmonary interstitial high-resolution computed tomography abnormality,肺间质高分辨率计算机断层扫描异常,
HP:0025390,Reticular pattern on pulmonary HRCT,肺部HRCT可见网状结构,
HP:0025391,Crazy paving pattern,肺部HRCT可见铺石路状结构,
HP:0025392,Nodular pattern on pulmonary HRCT,HRCT可见肺部结节状结构,
HP:0025393,Reticulonodular pattern on pulmonary HRCT,肺部HRCT可见网状结节状结构,
HP:0025394,Cystic pattern on pulmonary HRCT,肺部HRCT可见囊状结构,
HP:0025395,Combined cystic and ground-glass pattern on pulmonary HRCT,肺部HRCT可见囊状与毛玻璃样结构,
HP:0025396,Decreased attenuation pattern on pulmonary HRCT,肺部HRCT可见低密度区,
HP:0025397,Mosaic attenuation pattern on pulmonary HRCT,肺部HRCT可见马赛克低密度区,
HP:0025398,Nodular-perilymphatic pattern on pulmonary HRCT,肺部HRCT可见淋巴管周围结节状结构,
HP:0025399,Nodular-centrilobular with tree-in-bud pattern on pulmonary HRCT,肺部HRCT可见肺部小叶中心性结节呈树芽征,
HP:0025400,Nodular-random pattern on pulmonary HRCT,肺部HRCT可见随机结节状结构,
HP:0025401,Staring gaze,凝视,
HP:0025402,Square-wave jerks,方波急跳,
HP:0025403,Stooped posture,弯腰姿势,
HP:0025404,Abnormal visual fixation,注视异常,
HP:0025405,Visual fixation instability,固视不稳定,
HP:0025406,Asthenia,虚弱,
HP:0025407,Rectourethral fistula,直肠尿道瘘,
HP:0025408,Abnormal spleen morphology,脾脏形态异常,
HP:0025409,Abnormal spleen physiology,脾脏生理功能异常,
HP:0025410,Splenogonadal fusion,脾-性腺融合,
HP:0025413,Fossa navicularis urethral stricture,尿道舟状窝狭窄,
HP:0025414,Pendulous urethral stricture,尿道悬垂部狭窄,
HP:0025415,Bulbar urethral stricture,球尿道狭窄,
HP:0025416,Vaginal stricture,阴道狭窄,
HP:0025417,Patulous urethra,尿道扩张,
HP:0025418,Renal cortical necrosis,肾皮质坏死,
HP:0025419,Pulmonary pneumatocele,肺气肿,
HP:0025420,Diffuse alveolar hemorrhage,弥漫性肺泡出血,
HP:0025421,Pneumomediastinum,纵隔气肿,
HP:0025422,Pleural cyst,胸膜囊肿,
HP:0025423,Abnormal larynx morphology,喉部形态异常,
HP:0025424,Abnormal larynx physiology,喉部生理异常,
HP:0025425,Laryngospasm,喉痉挛,
HP:0025426,Abnormal bronchus morphology,支气管形态异常,
HP:0025427,Abnormal bronchus physiology,支气管异常生理学,
HP:0025429,Abnormal cry,哭声异常,
HP:0025430,High-pitched cry,高调哭声,
HP:0025431,Staccato cry,断续的哭,
HP:0025432,Acanthoma,棘皮瘤,
HP:0025433,Decreased lecithin cholesterol acyl transferase level,卵磷脂-胆固醇酰基转移酶活性降低,
HP:0025434,Reduced circulating CH50 activity,循环CH50活性降低,
HP:0025435,Increased circulating lactate dehydrogenase concentration,乳酸脱氢酶活性增高,
HP:0025436,Elevated serum 11-deoxycortisol,血清11-脱氧皮质醇升高,
HP:0025437,Macrozoospermia,巨精子症,
HP:0025439,Pharyngitis,咽炎,
HP:0025440,Warm reactive autoantibody positivity,温反应自身抗体阳性,
HP:0025441,Achilles tendon calcification,跟腱钙化,
HP:0025443,Abnormal cardiac atrial physiology,心脏房生理异常,
HP:0025444,Reduced amygdala volume,杏仁核体积减小,
HP:0025445,Abnormal papillary muscle morphology,乳头肌形态异常,
HP:0025446,Anomalous insertion of papillary muscle directly into anterior mitral leaflet,乳头肌异常性直接插入前二尖瓣叶,
HP:0025447,Displacement of the papillary muscles,乳头肌移位,
HP:0025448,Anterior displacement of the papillary muscles,乳头肌前移位,
HP:0025449,Apically displaced anterolateral papillary muscle,前外侧乳头肌顶端移位,
HP:0025451,Testicular adrenal rest tumor,睾丸肾上腺残余肿瘤,
HP:0025452,Pyoderma gangrenosum,坏疽性脓皮病,
HP:0025453,Delayed adrenarche,肾上腺始动延迟,
HP:0025454,Abnormal CSF metabolite concentration,脑脊液代谢物水平异常,
HP:0025455,Decreased CSF 5-hydroxyindolacetic acid concentration,脑脊液5-羟基吲哚乙酸浓度降低,
HP:0025456,Abnormal CSF protein concentration,脑脊液蛋白浓度异常,
HP:0025457,Decreased CSF protein concentration,脑脊液蛋白浓度降低,
HP:0025458,Decreased CSF albumin concentration,脑脊液白蛋白下降,
HP:0025459,Increased CSF/serum albumin ratio,脑脊液白蛋白与血清白蛋白的比值增加,
HP:0025460,High myoinositol in brain by MRS,磁共振波谱大脑高肌醇,
HP:0025461,Abnormal cell morphology,细胞形态异常,
HP:0025463,Abnormality of redox activity,氧化还原活性异常,
HP:0025464,Increased reactive oxygen species production,活性氧产生增加,
HP:0025465,Abnormal circulating beta globulin level,循环β-球蛋白水平异常,
HP:0025466,Beta 2-microglobulinuria,β2-微球蛋白尿症,
HP:0025469,Anagen effluvium,再生期脱发,
HP:0025470,Telogen effluvium,静止期脱发,
HP:0025471,Congenital panfollicular nevus,先天性全毛囊痣,
HP:0025472,Recurrent plantar mycosis,复发性足底真菌病,
HP:0025473,Hyperpigmented papule,色素沉着性丘疹,
HP:0025474,Erythematous plaque,红斑,
HP:0025475,Erythematous macule,红斑病,
HP:0025476,Testicular lipomatosis,睾丸脂肪瘤,
HP:0025477,Periarticular calcification,关节周围钙化,
HP:0025478,Atrial standstill,心房静止,
HP:0025479,Self-neglect,自我忽视,
HP:0025480,Lipomyelomeningocele,脂肪脊髓脊膜膨出,
HP:0025481,Cervical hemivertebrae,颈椎半椎体,
HP:0025482,Positive perchlorate discharge test,过氯酸盐释放试验阳性,
HP:0025483,Abnormal circulating thyroglobulin concentration,循环甲状腺球蛋白水平异常,
HP:0025484,Increased circulating thyroglobulin concentration,循环甲状腺球蛋白水平升高,
HP:0025485,Vaginal adenosis,阴道腺病,
HP:0025486,Fused labia majora,融合大阴唇,
HP:0025487,Abnormal bladder morphology,膀胱形态异常,
HP:0025488,Detrusor sphincter dyssynergia,逼尿肌括约肌协同失调,
HP:0025489,Bladder duplication,重复膀胱,
HP:0025490,Myocardial bridging,心肌桥,
HP:0025491,Venous stenosis,静脉狭窄,
HP:0025492,Microcoria,小瞳孔,
HP:0025493,Palmoplantar erythema,掌跖红斑,
HP:0025494,Coated aorta,主动脉壁增厚,
HP:0025495,Descending aorta hypoplasia,降主动脉发育不良,
HP:0025496,Abnormal coronary artery physiology,冠状动脉生理异常,
HP:0025497,Coronary artery spasm,冠状动脉痉挛,
HP:0025498,Aceruloplasminemia,铜蓝蛋白缺乏症,
HP:0025499,Class I obesity,一级肥胖,
HP:0025500,Class II obesity,二级肥胖,
HP:0025501,Class III obesity,三级肥胖,
HP:0025502,Overweight,超重,
HP:0025503,Anomalous coronary artery arising from the opposite sinus,异常冠状动脉起源于相反窦,
HP:0025505,Anomalous origin of the circumflex artery from the right sinus of Valsalva,冠状动脉回旋支于右主动脉窦的异常起源,
HP:0025506,Coronary artery sandwich anomaly,冠状动脉三明治畸形,
HP:0025507,Yellow papule,黄色丘疹,
HP:0025508,Gottron's papules,Gottron丘疹,
HP:0025509,Piezogenic pedal papules,压迫性足部丘疹,
HP:0025510,Nevus spilus,斑痣,
HP:0025511,Nevus sebaceus,皮脂腺痣,
HP:0025512,Skin-colored papule,肤色丘疹,
HP:0025513,Scleral rupture,巩膜破裂,
HP:0025514,Morning glory anomaly,牵牛花样视盘发育异常,
HP:0025515,Delayed thelarche,乳房发育延迟,
HP:0025516,Coronary-pulmonary artery fistula,冠状肺动脉瘘,
HP:0025517,Hypoplastic hippocampus,海马回发育不良,
HP:0025518,Visual gaze preference,视觉凝视偏好,
HP:0025519,Multiple biliary hamartomas,多发性胆管错构瘤,
HP:0025520,Calcinosis cutis,皮肤钙质沉着症,
HP:0025521,Increased body fat percentage,体脂百分比增加,
HP:0025522,Elongated chordae tendinae of the mitral valve,二尖瓣腱索延长,
HP:0025523,Abnormal morphology of the chordae tendinae of the mitral valve,二尖瓣腱索形态异常,
HP:0025524,Palmoplantar scaling skin,掌跖鱼鳞样皮损,
HP:0025525,Scaling skin on fingertip,指尖鱼鳞样皮损,
HP:0025526,Psoriasiform lesion,银屑病样皮损,
HP:0025527,Serpiginous cutaneous lesion,匐行性皮肤病变,
HP:0025528,Annular cutaneous lesion,环状皮肤病变,
HP:0025529,Hyperpigmented nodule,色素沉着结节,
HP:0025530,Xanthomas of the palmar creases,手掌褶皱黄色瘤,
HP:0025531,Harlequin phenomenon,小丑皮肤现象,
HP:0025532,Positive pathergy test,针刺反应阳性,
HP:0025533,Peau d'orange,桔皮化,
HP:0025534,Ocular melanocytosis,巩膜黑变病,
HP:0025535,Shawl sign,披肩征,
HP:0025536,V-sign,V字征,
HP:0025537,Plantar edema,足底水肿,
HP:0025538,Palmar edema,手掌水肿,
HP:0025539,Abnormal B cell subset distribution,B细胞亚群分布异常,
HP:0025540,Abnormal T cell subset distribution,T细胞亚群分布异常,
HP:0025546,Abnormal mean corpuscular hemoglobin concentration,红细胞平均血红蛋白含量异常,
HP:0025547,Decreased mean corpuscular hemoglobin concentration,红细胞平均血红蛋白量减低,
HP:0025548,Increased mean corpuscular hemoglobin concentration,红细胞平均血红蛋白量增多,
HP:0025549,Eccentric visual fixation,偏心注视,
HP:0025550,Elevated circulating ribitol concentration,核糖醇浓度增高,
HP:0025551,Optic nerve misrouting,视神经错路,
HP:0025552,Periorbital purpura,眶周紫癜,
HP:0025553,Periorbital ecchymosis with tarsal plate sparing,不累及睑板的眶周瘀斑,
HP:0025554,Yellow nodule,黄色结节,
HP:0025555,Periungual teleangiectasia,甲周毛细血管扩张,
HP:0025558,Lamellar cataract with riders,板层白内障（绕核白内障）,
HP:0025559,Coronary cataract,冠状白内障,
HP:0025560,Anterior chamber cells,前房细胞,
HP:0025561,Anterior chamber cells grade 1+,前房细胞等级1+,
HP:0025562,Anterior chamber cells grade 0.5+,前房细胞等级0.5+,
HP:0025563,Anterior chamber cells grade 0,前房细胞等级0,
HP:0025564,Anterior chamber cells grade 2+,前房细胞等级2+,
HP:0025565,Anterior chamber cells grade 3+,前房细胞等级3+,
HP:0025566,Anterior chamber cells grade 4+,前房细胞等级4+,
HP:0025567,Central serous chorioretinopathy,中心性浆液性脉络膜视网膜病变,
HP:0025568,Abnormal morphology of the choroidal vasculature,脉络膜血管形态异常,
HP:0025569,Polypoidal choroidal vasculopathy,息肉样脉络膜血管病变,
HP:0025570,Choroidal vascular hyperpermeability,脉络膜血管高通透状态,
HP:0025571,Christmas tree cataract,圣诞树样白内障,
HP:0025572,Punctal stenosis,泪小点膜性闭塞,
HP:0025573,Mild myopia,轻度近视,
HP:0025574,Macular hemorrhage,黄斑出血,
HP:0025575,Abnormal superior vena cava morphology,上腔静脉形态异常,
HP:0025576,Abnormal inferior vena cava morphology,下腔静脉畸形,
HP:0025578,Aortic valve prolapse,主动脉瓣脱垂,
HP:0025579,Abnormal left atrium morphology,左心房形态异常,
HP:0025580,Abnormal right atrium morphology,右心房形态异常,
HP:0025581,Foveal hemorrhage,视网膜中央凹出血,
HP:0025582,Submacular hemorrhage,黄斑下出血,
HP:0025583,Tapetal-like fundal reflex,绒毡层样眼底反射,
HP:0025584,Hypotropia,下斜视,
HP:0025585,Hyperphoria,上隐斜,
HP:0025586,Hypertropia,上斜视,
HP:0025587,Hyperdeviation,双眼视轴偏差,
HP:0025588,Hypodeviation,下斜视,
HP:0025589,Cyclodeviation,旋转偏斜,
HP:0025590,Abnormal extraocular muscle physiology,眼外肌生理异常,
HP:0025591,Abnormal superior oblique muscle physiology,上斜肌生理异常,
HP:0025592,Superior oblique muscle weakness,上斜肌无力,
HP:0025593,Superior oblique muscle restriction,上斜肌受限,
HP:0025594,Superior oblique muscle overaction,上斜肌活动亢进,
HP:0025595,Superior oblique muscle underaction,上斜肌欠活跃,
HP:0025596,Abnormal inferior oblique muscle physiology,下斜肌生理异常,
HP:0025597,Inferior oblique muscle restriction,下斜肌受限,
HP:0025598,Inferior oblique muscle weakness,下斜肌无力,
HP:0025599,Inferior oblique muscle overaction,下斜肌动作亢进,
HP:0025600,Abnormal inferior rectus muscle physiology,下直肌动作亢进,
HP:0025601,Inferior rectus muscle weakness,下直肌无力,
HP:0025602,Inferior rectus muscle restriction,下直肌受限,
HP:0025603,Abnormal superior rectus muscle physiology,上直肌生理异常,
HP:0025604,Orbital schwannoma,眼眶神经鞘瘤,
HP:0025605,Lid lag on downgaze,上睑闭合延迟,
HP:0025606,Abnormal medial rectus muscle physiology,内直肌生理异常,
HP:0025607,Upper eyelid entropion,上眼睑内翻,
HP:0025608,Cicatricial ectropion,瘢痕性睑外翻,
HP:0025609,Anterior blepharitis,前部睑缘炎,
HP:0025610,Posterior blepharitis,后睑缘炎,
HP:0025611,Epicanthus superciliaris,眉弓内眦赘皮,
HP:0025612,Corneal astigmatism,角膜性散光,
HP:0025613,Focal emotional seizure,局灶性情绪癫痫发作,
HP:0025615,Abscess,脓肿,
HP:0025616,Sterile abscess,无菌性脓肿,
HP:0025617,Abnormal plasma cell count,浆细胞计数异常,
HP:0025618,Reduced plasma cell count,浆细胞计数降低,
HP:0025619,Elevated plasma cell count,浆细胞计数升高,
HP:0025620,Abnormal proportion of CD4+ central memory cells,CD4 + 中央型记忆T细胞比例异常,
