HPO编码,标准名称（英文）,定义,注释,精确同义词（多个用分号分隔）,相关同义词（多个用分号分隔）,父类HPO编码（多个用分号分隔）,子类HPO编码（多个用分号分隔）,是否为叶子节点,替代ID（多个用分号分隔）,是否已废弃,被替换为,创建日期,外部引用（多个用分号分隔）,标准名称（中文）,定义（中文）,精确同义词（中文）,相关同义词（中文）,注释（中文）
HP:0007334,Bilateral tonic-clonic seizure with focal onset,A bilateral tonic-clonic seizure with focal onset is a focal-onset seizure which progresses into a bilateral tonic-clonic phase.,"The ILAE 2017 classification refers to this seizure type as a focal to bilateral tonic-clonic seizure. Previously it has been known as a secondarily generalized tonic-clonic seizure. The focal features of the seizure may be clinically manifest or alternatively, the spread in brain networks may be so rapid that no preceding focal symptom or sign is identified with demonstration of the focal onset resting on investigations. Note that not all instances of a Bilateral tonic-clonic seizure with focal onset will be a Focal motor seizure, some will be a Focal non-motor seizure, thus one can only say that there is a Focal-onset.",Partial seizure with secondary generalization; Focal seizure with secondary generalization; Secondary generalised tonic clonic seizures; Secondary generalized tonic-clonic seizures; Generalized tonic-clonic seizure with focal onset; Generalised tonic-clonic seizure with focal onset; Partial seizures with secondary generalisation; Secondary generalized tonic clonic seizures; Secondarily generalised tonic-clonic seizure; Secondary generalised tonic-clonic seizures; Focal to bilateral tonic-clonic seizure; Secondarily generalized tonic-clonic seizure; Generalised tonic-clonic seizure with partial onset; Generalized tonic-clonic seizures with focal onset; Partial seizure with secondary generalisation; Generalized tonic-clonic seizure with partial onset; Generalised tonic-clonic seizures with focal onset; Partial seizures with secondary generalization; Focal seizure with secondary generalisation; Secondarily generalized tonic-clonic seizures; Secondarily generalised tonic-clonic seizures,,HP:0002069; HP:0007359,,是,HP:0002602,否,,,UMLS:C0877017,双侧强直阵挛发作,,部分发作伴继发全面发作; 局灶性发作继发全面性强直-阵挛发作; 继发全面性强直-阵挛发作; 继发全面性强直-阵挛发作; 局灶起始全面强直-阵挛发作; 局灶起始的全面性强直-阵挛发作; 部分发作伴继发全面化; 继发全面性强直-阵挛发作; 继发性全面强直-阵挛发作; 继发全面性强直-阵挛发作; 局灶起始继发全面强直-阵挛发作; 继发性全面强直-阵挛发作; 局灶起始的全面性强直-阵挛发作; 局灶起始的全面强直-阵挛发作; 部分发作伴继发全面化; 局灶起始全面强直-阵挛发作; 局灶起始的全面强直-阵挛发作; 部分发作伴继发全面化; 局灶性发作继发全面性发作; 继发全面性强直-阵挛发作; 继发全面性强直-阵挛发作,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,2017年ILAE分类将此种发作类型描述为局灶性继发全面强直-阵挛发作。此前，它被称为继发性全面性强直-阵挛发作。该发作的局灶性特征可能临床上表现出来，或者脑网络中的扩散如此迅速，以至于没有识别出任何先前的局灶性症状或体征，从而依赖于检查来证明局灶性起始。需要注意的是，并非所有具有局灶性起始的双侧强直-阵挛发作都是局灶性运动发作，有些可能是局灶性非运动发作，因此只能说存在局灶性起始。
HP:0007335,Recurrent encephalopathy,Recurrent episodes of brain dysfunction that may be triggered by factors such as metabolic disturbances or infections.,,Recurrent cerebellar and extrapyramidal encephalopathy,,HP:0001298,,是,HP:0006947,否,,,UMLS:C1850719,复发性脑病,,复发性小脑性和锥体外系脑病,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007338,Hypermetric saccades,A saccade that overshoots the target with the dynamic saccade.,,,,HP:0000570,,是,,否,,,SNOMEDCT_US:246769000; UMLS:C0423083,过快扫视,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007340,Lower limb muscle weakness,Weakness of the muscles of the legs.,"Inability to perform rapid, alternating movements.",Muscle weakness in lower limbs; Lower limb muscle weakness; Lower extremity weakness; Leg weakness; Lower limb weakness,,HP:0003690,HP:0009053,否,HP:0002065; HP:0002477; HP:0009047,否,,,SNOMEDCT_US:249945007; UMLS:C0427068; UMLS:C1836296,下肢肌肉无力,,下肢肌力减弱; 下肢肌力减弱; 下肢无力; 下肢无力; 下肢无力,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,不能完成快速交替运动
HP:0007341,Diffuse swelling of cerebral white matter,,,,,HP:0002500,,是,,否,,,UMLS:C1858855,脑白质弥漫性肿胀,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007343,Abnormal morphology of the limbic system,"Any structural anomaly of the limbic system, a set of midline structures surrounding the brainstem of the mammalian brain, originally described anatomically, e.g., hippocampal formation, amygdala, hypothalamus, cingulate cortex. Although the original designation was anatomical, the limbic system has come to be associated with the system in the brain subserving emotional functions. As such, it is very poorly defined and doesn't correspond closely to the anatomical meaning any longer. [BirnLex].",,Limbic malformation,,HP:0100547,,是,,否,,,UMLS:C1863392,边缘叶形态异常,,边缘系统畸形,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007344,Atrophy/Degeneration involving the spinal cord,,,Atrophic and degenerative changes in the spinal cord,,HP:0002143; HP:0007367,HP:0006827,否,,否,,,UMLS:C1843858,脊髓萎缩/退化,,脊髓萎缩和退行性改变,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007346,Subcortical white matter calcifications,,,,,HP:0002514; HP:0002500,,是,,否,,,UMLS:C1851430,皮质下白质钙化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007348,Hypoplasia of the pyramidal tract,,,,,HP:0007363,,是,,否,,,UMLS:C1850871,锥体束发育不全,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007350,Upper limb hyperreflexia,Increased intensity of the a reflex in the arm.,,Hyperreflexia in upper limbs,,HP:0001347,,是,,否,,,UMLS:C1843175,上肢反射亢进,,上肢亢进反射,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007351,Upper limb postural tremor,A type of tremors that is triggered by holding an arm in a fixed position.,,Postural tremor of arms,,HP:0200085; HP:0002174,,是,HP:0007297,否,,,UMLS:C1867138,上肢姿势性震颤,,肢体姿势性震颤,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007352,Cerebellar calcifications,,,,,HP:0001317; HP:0010766,HP:0002461,否,,否,,,UMLS:C1851431,小脑钙化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007354,Amyotrophic lateral sclerosis,,,,Lou Gehrig's disease,HP:0007373,,是,,否,,,SNOMEDCT_US:86044005; UMLS:C0002736,肌萎缩侧索硬化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,卢伽雷病,
HP:0007359,Focal-onset seizure,"A focal-onset seizure is a type of seizure originating within networks limited to one hemisphere. They may be discretely localized or more widely distributed, and may originate in subcortical structures.","In 2017 the ILAE Commission for Classification and Terminology recommended classifying a seizure as having focal or generalized onset only when there is a high degree of confidence (>80%, arbitrarily chosen to parallel the usual allowable beta error) in the accuracy of this determination; see Dialeptic seizure.",Focal-onset seizures; Focal seizures; Partial seizure; Partial seizures; Focal seizure; Seizure affecting one half of brain; Focal onset seizure,,HP:0001250,HP:0002349; HP:0002384; HP:0007334; HP:0011153,否,HP:0002358; HP:0040168,否,,2008-03-31T05:27:00Z,SNOMEDCT_US:29753000; UMLS:C0751495,局灶性发作,,局灶性发作; 局灶性发作; 部分发作; 部分发作; 局灶性发作; 半侧大脑癫痫发作; 局灶性发作,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,2017年，ILAE分类和术语委员会建议仅在对这种判定的准确性有高度把握（>80%，任意选择以平行通常允许的β错误水平）时，才将癫痫发作归类为局灶性或全面性起始；见二象性发作。
HP:0007360,Aplasia/Hypoplasia of the cerebellum,,,Absent/underdeveloped cerebellum; Absent/small cerebellum; Atrophy/Hypoplasia of the cerebellum; Cerebellar hypoplasia/atrophy; Atrophy/Degeneration affecting the cerebellum,,HP:0001317; HP:0002977,HP:0001321; HP:0006817; HP:0012642,否,HP:0006857; HP:0007368,否,,2008-03-31T05:30:00Z,UMLS:C3279222,小脑发育缺陷/发育不全,,小脑缺如/发育不全; 小脑发育不全/小脑缺如; 小脑萎缩/发育不全; 小脑发育不全/萎缩; 小脑萎缩/变性,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007361,Abnormal pons morphology,A structural abnormality of the pons.,The pons is the portion of the brainstem superior to the medulla oblongata.,Abnormality of the pons,,HP:0002363; HP:0011283,HP:0006879; HP:0011932; HP:0012110,否,,否,,2008-03-31T05:32:00Z,UMLS:C4024905,桥脑形态异常,,脑桥异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,脑桥是脑干中位于延髓上方的部分。
HP:0007362,Aplasia/Hypoplasia of the brainstem,,,Absent/underdeveloped brainstem; Absent/small brainstem,,HP:0002363; HP:0002977,HP:0002365,否,,否,,2008-03-31T05:33:00Z,UMLS:C4024904,脑干发育缺陷/发育不全,,脑干缺失/发育不全; 小脑干或多脑干征缺失,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007363,Aplasia/Hypoplasia of the pyramidal tract,,,,,HP:0002062; HP:0002977,HP:0007348; HP:0100322,否,,否,,2008-03-31T05:41:00Z,UMLS:C4024903,锥体束不发育/发育不全,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007364,Aplasia/Hypoplasia of the cerebrum,,,Absent/small cerebrum; Absent/underdeveloped cerebrum,,HP:0002977; HP:0002060,HP:0000252; HP:0002323; HP:0006872; HP:0007268; HP:0007370,否,,否,,2008-03-31T05:43:00Z,UMLS:C4024902,大脑发育缺陷/发育不全,,小脑发育不全/无小脑; 小脑发育不全/缺失,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007365,Aplasia/Hypoplasia involving the corticospinal tracts,,,,,HP:0002492; HP:0002977,HP:0007016,否,,否,,2008-03-31T05:45:00Z,UMLS:C4024901,累及皮质脊髓束的发育缺陷/发育不全,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007366,Atrophy/Degeneration affecting the brainstem,,,Brainstem atrophy,,HP:0002363; HP:0007367,,是,,否,,2008-04-01T10:22:00Z,UMLS:C4024900,影响脑干的萎缩/退化,,脑干萎缩,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007367,Atrophy/Degeneration affecting the central nervous system,,,Atrophy/Degeneration affecting the CNS,,HP:0002011,HP:0002180; HP:0002529; HP:0007009; HP:0007344; HP:0007366; HP:0007372; HP:0007373; HP:0011813; HP:0012444; HP:0100256,否,,否,,2008-04-01T10:23:00Z,UMLS:C4024899,影响中枢神经系统的萎缩/退化,,中枢神经系统萎缩/变性,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007369,Atrophy/Degeneration affecting the cerebrum,"The presence of atrophy (wasting) of the cerebrum, also known as the telencephalon, the largest and most highly developed part of the human brain.",,,,HP:0002977; HP:0012444; HP:0002060,HP:0002059; HP:0006964; HP:0007313; HP:0007371; HP:0007374; HP:0012157,否,,否,,2008-04-01T10:28:00Z,UMLS:C4024898,影响大脑的萎缩/退化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007370,Aplasia/Hypoplasia of the corpus callosum,Absence or underdevelopment of the corpus callosum.,,Hypoplastic or absent corpus callosum; Agenesis/hypoplastic corpus callosum; Absent/hypoplastic corpus callosum; Complete or partial absence of the corpus callosum; Hypoplasia or absence of the corpus callosum,,HP:0007364,HP:0001274; HP:0002079,否,HP:0007003; HP:0007060; HP:0007061; HP:0007137,否,,2008-04-01T10:35:00Z,UMLS:C1861866,胼胝体发育缺陷/发育不全,,胼胝体发育不全或缺失; 胼胝体发育不全/薄弱; 胼胝体缺失/发育不全; 全脑胼胝体缺失或部分缺失; 胼胝体发育不全或缺失,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007371,Corpus callosum atrophy,The presence of atrophy (wasting) of the corpus callosum.,,Atrophic corpus callosum; Atrophy/Degeneration of the corpus callosum; Atrophy of the corpus callosum,,HP:0007369; HP:0012762,,是,HP:0005712,否,,2008-04-01T10:36:00Z,SNOMEDCT_US:253142006; UMLS:C0431370,胼胝体萎缩,,萎缩的胼胝体; 胼胝体萎缩/变性; 胼胝体萎缩,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007372,Atrophy/Degeneration involving the corticospinal tracts,,,,,HP:0002492; HP:0007367,HP:0002314; HP:0007117,否,,否,,2008-04-01T10:38:00Z,UMLS:C4024897,累及皮质脊髓束的萎缩/退化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007373,Motor neuron atrophy,Wasting involving the motor neuron.,,Motor neuron degeneration,,HP:0007367; HP:0002450,HP:0002398; HP:0007354,否,,否,,2008-04-01T10:39:00Z,UMLS:C4024896,运动神经元萎缩,,运动神经元退行性变,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007374,Atrophy/Degeneration involving the caudate nucleus,,,,,HP:0007369; HP:0002339,HP:0002340,否,,否,,2008-04-01T10:47:00Z,UMLS:C4024895,累及尾状核的萎缩/退化,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007375,Abnormal septum pellucidum morphology,"An abnormality of the septum pellucidum, which is a thin, triangular, vertical membrane separating the lateral ventricles of the brain.",,Abnormality of the septum pellucidum,,HP:0002060,HP:0001331; HP:0002389,否,,否,,2008-04-01T10:48:00Z,UMLS:C4024894,透明隔形态异常,,透明隔异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007376,Abnormal choroid plexus morphology,"An abnormality of the choroid plexus, which is the area in the cerebral ventricles in which cerebrospinal fluid is produced by modified ependymal cells.",The choroid plexus is a structure in the ventricles of the brain where cerebrospinal fluid (CSF) is produced.,,,HP:0002118,HP:0002190; HP:0006960; HP:0012422; HP:0200022,否,,否,,2008-04-01T10:52:00Z,UMLS:C4024893,脉络丛形态异常,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,脉络丛是脑室内的一个结构，负责产生脑脊液（CSF）。
HP:0007377,Abnormality of somatosensory evoked potentials,"An abnormality of somatosensory evoked potentials (SSEP), i.e., of the electrical signals of sensation going from the body to the brain in response to a defined stimulus. Recording electrodes are placed over the scalp, spine, and peripheral nerves proximal to the stimulation site. Clinical studies generally use electrical stimulation of peripheral nerves to elicit potentials. SSEP testing determines whether peripheral sensory nerves are able to transmit sensory information like pain, temperature, and touch to the brain. Abnormal SSEPs can result from dysfunction at the level of the peripheral nerve, plexus, spinal root, spinal cord, brain stem, thalamocortical projections, or primary somatosensory cortex.",,Abnormality of SSEPs,,,HP:0001312; HP:0001340; HP:0007104; HP:0100290; HP:0100291,否,,否,,2008-04-01T11:23:00Z,UMLS:C4021577,体感诱发电位异常,,感觉诱发电位异常,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007378,Neoplasm of the gastrointestinal tract,A tumor (abnormal growth of tissue) of the gastrointestinal tract.,,GI tract tumor; Gastrointestinal tract neoplasm; GI tract tumour; Neoplasm of the GI tract; Gastrointestinal tract tumour; Gastrointestinal tract neoplasia; Gastrointestinal tract tumor,,HP:0011024,HP:0002044; HP:0002896; HP:0005220; HP:0005266; HP:0006719; HP:0006723; HP:0006749; HP:0006753; HP:0100245; HP:0100574; HP:0100723; HP:0100751; HP:0100833; HP:0100834,否,,否,,2008-04-01T11:55:00Z,NCIT:C3262; SNOMEDCT_US:126768004; UMLS:C0017185,胃肠道新生物,,消化道肿瘤; 消化道肿瘤; 消化道肿瘤; 消化道肿瘤; 消化道肿瘤; 胃肠肿瘤; 消化道肿瘤,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007379,Neoplasm of the genitourinary tract,A tumor (abnormal growth of tissue) of the genitourinary system.,,Genitourinary tract neoplasm; Neoplasm of the GU tract; Genitourinary tract tumors; Genitourinary tract tumours,Genitourinary tract neoplasia,HP:0000119; HP:0011793,HP:0006758; HP:0006778; HP:0010786; HP:0010787,否,,否,,2008-04-01T12:00:00Z,NCIT:C3262; UMLS:C0042065; UMLS:C4020809,泌尿生殖道肿瘤,,泌尿生殖系统肿瘤; 泌尿生殖系统肿瘤; 泌尿生殖系统肿瘤; 泌尿生殖系统肿瘤,泌尿生殖系统肿瘤,
HP:0007380,Facial telangiectasia,Telangiectases (small dilated blood vessels) located near the surface of the skin of the face.,,"Facial telangiectatic vessels; Telangiectasia, facial",,HP:0100585,HP:0005598; HP:0007421,否,HP:0007520,否,,,UMLS:C0858684,面部毛细血管扩张,,面部毛细血管扩张症; 面部毛细血管扩张症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007381,Congenital exfoliative erythroderma,,,,,HP:0001019,,是,,否,,,UMLS:C4024892,先天性剥脱性红皮病,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007383,Congenital localized absence of skin,,,Congenital localised absence of skin; Congenital localised skin absence; Congenital localized skin absence,,HP:0008065,HP:0007506,否,HP:0007557,否,,,UMLS:C2673597,先天性局部皮肤缺失,,先天性局部皮肤缺如; 先天性局限性皮肤缺如; 先天性局限性皮肤缺如,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007384,Aberrant melanosome maturation,,,,,HP:0011125,,是,,否,,,UMLS:C1969516,黑素小体成熟障碍,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007385,Aplasia cutis congenita of scalp,A developmental defect resulting in the congenital absence of skin on the scalp.,,Scalp aplasia cutis congenita,,HP:0001057,HP:0004471; HP:0004476,否,HP:0000994; HP:0007568,否,,,UMLS:C1855698; UMLS:C4048801; UMLS:C4072857; UMLS:C4072858,先天性头皮表皮发育不全,,先天性头皮无毛性缺损,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007387,Hypoplastic sweat glands,Underdevelopment of the sweat glands.,,Underdeveloped sweat glands,,HP:0011135,,是,,否,,,UMLS:C1832455,汗腺发育不全,,未发育成熟的汗腺,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007390,Hyperkeratosis with erythema,,,,,HP:0000962,,是,,否,,,UMLS:C4024891,红斑角化症,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007392,Excessive wrinkled skin,,,Excessive wrinkled skin,,HP:0008067; HP:0100678,HP:0007407; HP:0007605,否,,否,,,UMLS:C4024890,皮肤皱褶过多,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007394,Prominent superficial blood vessels,,,Prominent superficial vasculature; Prominent superficial blood vessels,,HP:0011276,HP:0001015,否,HP:0007577,否,,,UMLS:C1848771,浅表血管突出,,明显浅表血管增多; 明显表浅血管增多,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007395,Postnatal-onset ichthyosiform erythroderma,A type of ichthyosiform erythroderma with postnatal onset.,,Postnatal-onset ichthyosis,,HP:0008064,,是,,否,,,UMLS:C4021576,先天性鱼鳞病样红皮病,,出生后发病的鱼鳞病,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007396,Early cutaneous photosensitivity,Photosensitivity of the skin occurring early in life.,,Sun sensitivity occurring early in life,,HP:0000992,,是,,否,,,UMLS:C4024889,早发性光敏性皮肤,,儿童期光敏感症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007397,Axillary apocrine gland hypoplasia,Developmental hypoplasia of the apocrine sweat glands in the region of the axilla.,,,,HP:0011135,,是,,否,,,UMLS:C1867003,腋下大汗腺发育不全,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007398,"Asymmetric, linear skin defects",,,,,HP:0008065,,是,,否,,,UMLS:C4024888,非对称性线性皮损,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007400,Irregular hyperpigmentation,,,,,HP:0000953,HP:0001034; HP:0005336; HP:0005585; HP:0007406; HP:0007450; HP:0007456; HP:0007521; HP:0007546; HP:0007572; HP:0007588; HP:0100816,否,,否,,,UMLS:C1860236,不规则色素沉着,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007401,Macular atrophy,"A nonspecific term denoting wasting, especially as a result of degeneration, of the retinal pigment epithelium (RPE) and neurosensory retinal cells in the macula.",,,,HP:0001105; HP:0000608,HP:0200056,否,,否,,,SNOMEDCT_US:238828009; UMLS:C1288283,黄斑萎缩,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007402,Areas of hypopigmentation and hyperpigmentation that do not follow Blaschko lines,,,,,HP:0009123,,是,,否,,,UMLS:C4024886,不沿Blaschko线分布的色素减退和色素沉着区域,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007403,Hypertrophy of skin of soles,,,Thick skin of soles,,HP:0100872,,是,,否,,,UMLS:C1867617,跖部皮肤肥厚,,足底厚皮肤,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007404,Nonepidermolytic palmoplantar hyperkeratosis,Abnormal thickening of the skin on the palms and soles charactersized by hyperkeratosis of the stratum corneum with no evidence of epidermolysis characteristic of epidermolytic hyperkeratosis.,,Nonepidermolytic palmoplantar keratoderma,,HP:0000972,,是,,否,,,UMLS:C1833030,非表皮松解性掌跖角化症,,非棘层内松解型掌跖角化病,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007406,Hyperpigmentation of eyelids,,,Dark eyelids,Pigmentation of eyelids; Brown eyelids,HP:0000492; HP:0007400,,是,,否,,,SNOMEDCT_US:41115008; UMLS:C0155211; UMLS:C0854438; UMLS:C4280440,眼睑色素沉着,,黑眼圈,眼睑色素沉着; 棕色眼睑,
HP:0007407,Excessive skin wrinkling on dorsum of hands and fingers,,,Excessive skin wrinkling on back of hands and fingers,,HP:0007392,,是,,否,,,UMLS:C1837467,手背和指背部皱褶过多,,手背和手指过度皱纹,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007408,Tegumentary leishmaniasis susceptibility,Increased susceptibility to infection by the protozan parasite of the genus Leishmania.,,,,HP:0005386,,是,,否,,,UMLS:C2748501,皮肤利什曼病易感,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007409,"obsolete Absence of subcutaneous fat over entire body except buttocks, hips, and thighs",,,,,,,是,,是,,,,,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007410,Palmoplantar hyperhidrosis,An abnormally increased perspiration on palms and soles.,,Hyperhidrosis of palms and soles; Excessive sweating of palms and soles,,HP:0006089; HP:0100872,,是,HP:0007624,否,,,SNOMEDCT_US:403375001; UMLS:C1274743,掌跖多汗症,,手掌和足底多汗症; 手足多汗症,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007411,Hypoplastic-absent sebaceous glands,,,,,HP:0008065,,是,,否,,,UMLS:C1844617,皮脂腺发育不全或缺失,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007412,Macular hyperpigmented dermopathy,,,,,HP:0001034,,是,,否,,,UMLS:C4024885,斑疹样色素沉着性皮肤病,,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007413,Nevus flammeus of the forehead,Naevus flammeus localized in the skin of the forehead.,,Port-wine stain on forehead,,HP:0001052,,是,,否,,,UMLS:C1848850,前额鲜红斑痣,,额部葡萄酒色斑,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
HP:0007414,Neonatal wrinkled skin of hands and feet,,,Wrinkled skin of hands and feet in newborn,,HP:0100678,,是,,否,,,UMLS:C4024884,新生儿手足皱褶,,新生儿手脚皱纹皮肤综合征,由于提供的英文术语为空（nan），因此没有内容可以翻译。请提供具体的医学术语以便进行翻译。,
